origName,cleanName
"ERNST AND YOUNG LLP	",Ernst and Young
"ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES, INC., THE	",The Escal Institute of Advanced Technologies
"ESCGOV	",ESCGOV
"EVACUSLED INC	","Evacusled	"
"EVIGILANT.COM INCORPORATED	","Evigilant.com	"
"EWA GOVERNMENT SYSTEMS, INC.	","EWA Government Systems	"
"EWING ELECTRONICS, INC.	","Ewing Electronics	"
"EXCELLA CONSULTING INCORPORATED	","Excella Consulting	"
"EXECUTIVE INFORMATION SYSTEMS,	","Executive Information Systems,	"
"EXECUTIVE INFORMATION SYSTEMS, LLC	","Executive Information Systems	"
"EXECUTIVE OFFICE OF THE STATE OF NORTH CAROLINA	","Executive office of The State of North Carolina	"
"EXPRESS ALLIANCE COURIER	","Express Alliance Courier	"
"EXXACT CORPORATION	",Exxact
"EZ PRINT SUPPLIES, INC.	","EZ Print Supplies	"
"F C I TECH INC.	","FCI Tech	"
"FAAC INCORPORATED	",FAAC
"FAMILY FIRST 5 INC.	","Family First 5	"
"FARBER SPECIALTY VEHICLES, INC	","Farber Specialty Vehicles	"
"FAX PLUS INCORPORATED	","Fax Plus	"
"FCN	",FCN
"FCN, INC.	",FCN
"FEDCAP REHABILITATION SERVICES, INC.	","Fedcap Rehabilitation Services	"
"FEDERAL CARTRIDGE COMPANY	","Federal Cartridge Company	"
"FEDERAL CONTRACTS CORP	","Federal Contracts 	"
"FEDERAL DEFENSE SOLUTIONS, INC.	","Federal Defense Solutions	"
"FEDERAL EXPRESS CORPORATION	",Federal Express
"FEDERAL FACILITATORS, LLC.	","Federal Facilitators	"
"FEDERAL HEARINGS AND APPEALS SERVICES, INC.	","Federal Hearings and Appeals Services	"
"FEDERAL LOCK AND SAFE, INCORPORATED	","Federal Lock and Safeorporated	"
"FEDERAL MANAGEMENT SYSTEMS, INC.	","Federal Management Systems	"
"FEDERAL PRISON INDUSTRIES INC	","Federal Prison Industries	"
"FEDERAL PRISON INDUSTRIES, INC	","Federal Prison Industries	"
"FEDERAL RESOURCES SUPPLY COMPANY	","Federal Resources Supply Company	"
"FEDRESULTS, INC.	","FedResults	"
"FEDSTORE CORPORATION	",FedStore
"FEENEY WIRELESS, LLC	","Feeney Wireless	"
"FERBAK, INC.	","Ferbak	"
"FILEONQ, INC.	",FileOnQ
"FIRE SAFETY SYSTEMS INC.	","Fire Safety Systems	"
"FIRELAKE CONSTRUCTION, INC.	","Firelake Construction	"
"FISHER SCIENTIFIC COMPANY L.L.C.	","Fisher Scientific Company	"
"FISKARS BRANDS, INC.	","Fiskars Brands	"
"FITZGERALD, BEN REAL ESTATE SE	",Ben Fitzgerald Real Estate
"FLEET MANAGEMENT SOLUTIONS, INC.	","Fleet Management Solutions	"
"FLYTECOMM, INC.	","Flytecomm	"
"FN AMERICA, LLC	","FN America	"
"FOCUS CAMERA LLC	","Focus Camera	"
"FOLSOM SHOOTING CLUB INC	","Folsom Shooting Club	"
"FORBES, INC., C.	","Forbes, C.	"
"FORFEITURE SUPPORT ASSOCIATES, LLC	","Forfeiture Support Associates	"
"FOSTER & FREEMAN USA INC.	","Foster & Freeman USA	"
"FOSTER & LEVESQUE LLC	","Foster & Levesque	"
"FOSTER PRODUCTS, INC.	","Foster Products	"
"FOUR POINTS TECHNOLOGY, L.L.C.	","Four Points Technology,	"
"FOX RIVER GRAPHICS	","Fox River Graphics	"
"FPMI SOLUTIONS INCORPORATED	","FPMI Solutions	"
"FRANKLIN COVEY CLIENT SALES INC	","Franklin Covey Client Sales	"
"FRANKLIN YOUNG INTERNATIONAL, INCORPORATED	","Franklin Young Internationa	"
"FREEMAN EXPOSITIONS, INC.	","Freeman Expositions	"
"FRONTEO GOVERNMENT SERVICES, INC.	","Fronteo Government Services	"
"FS PARTNERS LLP	","FS Partners	"
"FUTURE FIBRE TECHNOLOGIES (US) INC.	","Future Fibre Technologies	"
"G T DISTRIBUTORS, INC.	","G T Distributors	"
"G4S SECURE SOLUTIONS (USA) INC	","G4S Secure Solutions (USA)	"
"GALLS, INC	","Galls	"
"GARRET P DEMOTT	","Garret P Demott	"
"GARRETT ELECTRONICS, INC.	","Garrett Electronics	"
"GAYLORD BROS., INC.	","Gaylord Bros.,	"
"GC ALLIANCE, LLC	","GC Alliance	"
"GEMINI INDUSTRIES INC.	","Gemini Industries	"
"GENERAL DYNAMICS MISSION SYSTEMS, INC	","General Dynamics Mission Systems	"
"GENERAL DYNAMICS ORDNANCE AND TACTICAL SYSTEMS - SIMUNITION OPERATIONS, INC.	","General Dynamics Ordnance and Tactical Systems - Simunition Operations	"
"GENESIS RESOURCE INC	","Genesis Resource	"
"GEO CARE LLC	","Geo Care	"
"GEO GROUP INC., THE	","The Geo Group	"
"GEO GROUP, INC., THE	",The Geo Group
"GEO MED LIMITED LIABILITY COMPANY	","Geo Med 	"
"GIANT OAK, INC.	","Giant Oak	"
"GLOBAL DATA CENTER INC	","Global Data Center	"
"GLOBAL INFINITY ENTERPRISE LIMITED LIABILITY COMPANY	","Global Infinity Enterprise 	"
"GLOBAL PRECISION SYSTEMS, LLC	","Global Precision Systems	"
"GLOBAL REACH PETROLEUM, LLC	","Global Reach Petroleum	"
"GLOBAL RESOURCE SOLUTIONS, INC.	","Global Resource Solutions	"
"GLOBAL SYSTEMS OF AMERICA CORPORATION	",Global Systems of America
"GLOBAL TECH INC.	","Global Tech	"
"GLOBAL TRAVELER LLC	","Global Traveler	"
"GLOCK, INC.	","Glock	"
"GO & ZALEZ INC.	","Go & Zalez	"
"GO TO GROUP, INC, THE	","The Go To Group	"
"GOALTEX CORP	","Goaltex 	"
"GOLDEN KEY GROUP, LLC	","Golden Key Group	"
"GOOD SOURCE SOLUTIONS, INC.	","Good Source Solutions	"
"GOODCO MECHANICAL INC	","Goodco Mechanical	"
"GOVERNMENT ACQUISITIONS INCORPORATED	","Government Acquisitions	"
"GOVERNMENT ACQUISITIONS, INC.	","Government Acquisitions	"
"GOVERNMENT CONTRACT SOLUTIONS INC	","Government Contract Solutions	"
"GOVERNMENT MARKETING AND PROCU	","Government Marketing and Procurement	"
"GOVERNMENT SCIENTIFIC SOURCE INCORPORATED	","Government Scientific Source	"
"GOVERNMENT TRAINING INSTITUTE, INC.	","Government Training Institute	"
"GOVPLACE	","Govplace	"
"GOVSMART, INC.	","Govsmart	"
"GPS INTELLIGENCE LLC	","GPS Intelligence	"
"GRADUATE SCHOOL	","Graduate School	"
"GRANT THORNTON LLP	",Grant Thornton
"GREEN 320, LLC	","Green 320	"
"GREEN IT SYSTEMS GROUP	","Green IT Systems Group	"
"GREENZONE SOLUTIONS, INC.	","Greenzone Solutions	"
"GRIFFEYE INC.	","Griffeye	"
"GTSI CORP.	",GTSI
"GTSI CORPORATION	",GTSI
"GUIDANCE SOFTWARE, INC.	","Guidance Software	"
"GULF BREEZE PROPERTIES, II L.L.C.	",Gulf Breeze Properties
"H SQUARED, INC.	","H Squared	"
"H. L., DALIS, INC.	","H. L. Dalis	"
"HALE OUTDOOR PRODUCTS, LLC	","Hale Outdoor Products	"
"HALO GROUP, INC.	","Halo Group	"
"HAMILTON ENTERPRISES, LLC	","Hamilton Enterprises	"
"HANAPS ENTERPRISES	","Hanaps Enterprises	"
"HARDIGG INDUSTRIES, INC.	","Hardigg Industries	"
"HARDWARE, INC	","Hardware	"
"HARIOM INC.	","Hariom	"
"HARRIS CORPORATION	",Harris
"HARRIS IT SERVICES CORPORATION	",Harris IT Services
"HARTFORD PARKING AUTHORITY	","Hartford Parking Authority	"
"HAWAIIAN TELCOM SERVICES COMPANY, INC	","Hawaiian Telcom Services Company	"
"HAWORTH, INC	","Haworth	"
"HAWORTH, INC.	","Haworth	"
"HAYNES SECURITY CORP	","Haynes Security 	"
"HDR ENVIRONMENTAL, OPERATIONS AND CONSTRUCTION, INC.	","HDR Environmental, Operations and Construction	"
"HEARTSAFE AMERICA, INC	","Heartsafe America	"
"HECKLER & KOCH DEFENSE INC.	","Heckler & Koch Defense	"
"HELGEN INDUSTRIES, INC.	","Helgen Industries	"
"HELIX GROUP LLC	","Helix Group	"
"HERGO, ERGONOMIC SUPPORT SYSTEMS, INC.	","Hergo, Ergonomic Support Systems	"
"HERMAN MILLER, INC.	","Herman Miller	"
"HEURESIS CORP	","Heuresis 	"
"HIBLER, NEIL S PHD ABBP	","Neil S Hibler, PhD ABBP	"
"HIGHLANDS RANCH LAW ENFORCEMENT TRAINING FOUNDATION, THE	","The Highlands Ranch Law Enforcement Training Foundation	"
"HILL & MAC GUNWORKS LLC	","Hill & Mac Gunworks	"
"HILLSBOROUGH, COUNTY OF	","County of Hillsborough	"
"HOWELL, NATHANIEL	",Nathaniel Howell
"HP ENTERPRISE SERVICES, LLC	","HP Enterprise Services	"
"HR ANEW, INC.	","HR Anew	"
"HRWORX, LLC	","Hrworx	"
"HUBSTREAM, INC	","Hubstream	"
"HUDSON RIVER PARK TRUST	","Hudson River Park Trust	"
"HULLIHENS LAWN CARE INC	","Hullihens Lawn Care	"
"HUMAN RESOURCES INSTITUTE INCORPORATED	","Human Resources Institute	"
"HUNTER SYSTEMS GROUP, INC.	","Hunter Systems Group	"
"HURON VALLEY GUNS	","Huron Valley Guns	"
"HURST, CITY OF	","City of Hurst	"
"HYATT CORPORATION	",Hyatt
"IBEAGHA, ANTHONY	",Anthony Ibeagha
"ICS JAIL SUPPLIES, INC.	","ICS Jail Supplies	"
"IMAGANN CLEANING SERVICE, INC.	","Imagann Cleaning Service	"
"IMMEDIATE SYSTEM RESOURCES, INC	","Immediate System Resources	"
"IMMIXTECHNOLOGY, INC.	","Immixtechnology	"
"IMPERIAL VALLEY RIFLE & PISTOL ASSOCIATION	","Imperial Valley Rifle & Pistol Association	"
"IMPERIAL, COUNTY (INC)	","Imperial, County	"
"IMPRES TECHNOLOGY SOLUTIONS, INC.	","Impres Technology Solutions	"
"IMSOLUTIONS LLC	","Imsolutions	"
"INCIDENT COMMUNICATION SOLUTIONS, LLC	","Incident Communication Solutions	"
"INDEPENDENT HARDWARE, INC.	","Independent Hardware	"
"INDEV	","Indev	"
"INDUSTRIAL VIDEO & CONTROL CO., LLC	","Industrial Video & Control Co.	"
"INDUSTRIES OF THE BLIND, INCORPORATED	","Industries of The Blindorporated	"
"INFOCUS HEALTH, LLC	","Infocus Health	"
"INFORELIANCE CORPORATION	",Inforeliance
"INGENESIS INC.	","Ingenesis	"
"INGENESIS INCORPORATED	","Ingenesis	"
"INSERSO CORPORATION	",Inserso
"INSIGHT TECHNOLOGY SOLUTIONS INC.	","Insight Technology Solutions	"
"INSTALLATION MORALE WELFARE RECREATION FUND	","Installation Morale Welfare Recreation Fund	"
"INSYTE LLC	","Insyte	"
"INTEGRAL CONSULTING SERVICES INCORPORATED	","Integral Consulting Services	"
"INTEGRATED EXHIBITS INC	","Integrated Exhibits	"
"INTEGRATED FINANCE AND ACCOUNTING SOLUTIONS, LLC	","Integrated Finance and Accounting Solutions	"
"INTEGRATED PARCEL NETWORK	","Integrated Parcel Network	"
"INTEGRATION TECHNOLOGIES GROUP, INC.	","Integration Technologies Group	"
"INTERACTIVE COMMUNICATIONS SOLUTIONS GROUP, INC.	","Interactive Communications Solutions Group	"
"INTERCEPTOR PUBLIC SAFETY PRODUCTS, INC.	","Interceptor Public Safety Products	"
"INTERCONNECT COMMUNICATION SPECIALISTS	","Interconnect Communication Specialists	"
"INTERIOR FACILITIES DESIGN LIMITED LIABILITY COMPANY	","Interior Facilities Design 	"
"INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE	","International Association of Chiefs of Police	"
"INTERNATIONAL BUSINESS MACHINE	","International Business Machine	"
"INTERNATIONAL BUSINESS MACHINES CORPORATION	",International Business Machines
"INTERNATIONAL CARTRIDGE CORPORATION	",International Cartridge
"INTERNATIONAL SATELLITE SERVICES, INC.	","International Satellite Services	"
"INTERNATIONAL TELEVISION CORP	","International Television 	"
"INTERPARK LLC	","Interpark	"
"IPI GRAMMTECH LTD	",IPI Grammtech
"IROBOT CORPORATION	",iRobot
"ISLIP, TOWN OF	","Town of Islip	"
"ISS ACTION, INC.	","ISS Action	"
"ISYS, LLC	","ISYS	"
"ITIN SCALE COMPANY INCORPORATED	","ITIN Scale Company	"
"J & S POWER SOLUTIONS INC	","J & S Power Solutions	"
"J OLIVA TRUCKING	","J Oliva Trucking	"
"J P INDUSTRIES INC	","JP Industries	"
"J S J RODRIGUEZ, INC.	","J.S.J. Rodriguez	"
"J. DIAMOND GROUP, INC., THE	","The J. Diamond Group,	"
"JACK KNELLY'S OFFICE FURNITURE SPECIALTIES, INC.	","Jack Knelly's office Furniture Specialties	"
"JACQUES CATERING OF NY INC	","Jacques Catering of NY	"
"JANZ CORPORATION, THE	",The Janz
"JASPER SAWYER COMPANY L.L.C	",Jasper Sawyer Company
"JAVA PRODUCTIONS, INC.	","Java Productions	"
"JCT, INC.	",JCT
"JDG ASSOCIATES, INC.	","JDG Associates	"
"JDL DIGITAL SYSTEMS INC	","JDL Digital Systems	"
"JENKINS SECURITY CONSULTANTS INCORPORATED	","Jenkins Security Consultants	"
"JESUIT REFUGEE SERVICE USA	","Jesuit Refugee Service USA	"
"JETICO INC. OY	",Jetico
"JOHN WILEY & SONS, INC.	","John Wiley & Sons	"
"JOHN WILEY AND SONS INCORPORATED	","John Wiley & Sons	"
"JOHNS HOPKINS UNIVERSITY, THE	","The Johns Hopkins University	"
"JOHNSON CONTROLS SECURITY SOLUTIONS LLC	","Johnson Controls Security Solutions	"
"JOHNSON CONTROLS, INC.	","Johnson Controls	"
"JOLIVA TRUCKING LLC	","Joliva Trucking	"
"JSI TELECOM INC.	","JSI Telecom	"
"JTF BUSINESS SYSTEMS CORPORATION	",JTF Business Systems
"JTF BUSINESS SYSTEMS INC	","JTF Business Systems	"
"JUSTICE PACKAGING CORPORATION	",Justice Packaging
"JUSTICETRAX INC.	","Justicetrax	"
"JWM WHOLESALE, INC.	","JWM Wholesale	"
"KADIX SYSTEMS LIMITED LIABILITY COMPANY	","Kadix Systems 	"
"KADIX SYSTEMS, LLC	","Kadix Systems	"
"KALOS, INC.	","Kalos	"
"KAPSUUN GROUP, LLC	","Kapsuun Group	"
"KARDA SYSTEMS LLC	","Karda Systems	"
"KCORP SUPPORT SERVICES, INC.	","KCorp Support Services	"
"KCORP TECHNOLOGY SERVICES, INC.	","KCorp Technology Services	"
"KDH DEFENSE SYSTEMS INC	","KDH Defense Systems	"
"KEARNEY & COMPANY, P.C.	","Kearney & Company	"
"KEL-TECH PLASTICS, INC.	","Kel-Tech Plastics	"
"KELL SYSTEMS INC.	","Kell Systems	"
"KERN, COUNTY OF	","County of Kern	"
"KEYSIGHT TECHNOLOGIES, INC.	","Keysight Technologies	"
"KEYW CORPORATION, THE	",The KeyW
"KLEMES FAMILY HOLDINGS, INC.	","Klemes Family Holdings	"
"KNIGHT POINT SYSTEMS, LLC	","Knight Point Systems	"
"KNIGHT'S ARMAMENT COMPANY	","Knight's Armament Company	"
"KNOWLEDGEBANK, INC.	","Knowledgebank	"
"KOI COMPUTERS, INC.	","Koi Computers	"
"KONICA MINOLTA BUSINESS SOLUTIONS U.S.A., INC.	","Konica Minolta Business Solutions USA	"
"KONICA MINOLTA BUSINESS SOLUTIONS USA INCORPORATED	","Konica Minolta Business Solutions USA	"
"KP ELECTRONICS LLC	","KP Electronics	"
"KPAUL PROPERTIES, LLC	","KPaul Properties	"
"KROLL GOVERNMENT SERVICES	","Kroll Government Services	"
"KRP DATA SYSTEMS	","KRP Data Systems	"
"KUSAR COURT REPORTERS & LEGAL SERVICES,INC.	","Kusar Court Reporters & Legal Services,Inc.	"
"KWIZCOM CORPORATION	",Kwizcom
"KYOCERA DOCUMENT SOLUTIONS AMERICA, INC.	","Kyocera Document Solutions America	"
"KYOCERA MITA AMERICA INC	","Kyocera Mita America	"
"L AND R MANUFACTURING COMPANY	","L and R Manufacturing Company	"
"L-3 COMMUNICATIONS CORPORATION	",L-3 Communications
"L3 TECHNOLOGIES, INC.	","L3 Technologies	"
"LABORATORY CORPORATION OF AMERICA	","Laboratory Corporation of America	"
"LAFAYETTE INSTRUMENT COMPANY INC	","Lafayette Instrument Company	"
"LANDOLL CORPORATION	",Landoll
"LANGUAGE LINE LLC	","Language Line	"
"LANGUAGE TRAINING CENTER, INC.	","Language Training Center	"
"LATAH, COUNTY OF	","County of Latah	"
"LAYTON LANDSCAPING	","Layton Landscaping	"
"LC INDUSTRIES, INC.	","LC Industries	"
"LEGAL INTERPRETING SERVICES INCORPORATED	","Legal Interpreting Services	"
"LEGAL INTERPRETING SERVICES, INC.	","Legal Interpreting Services	"
"LEIDOS, INC.	","Leidos	"
"LEUPOLD & STEVENS, INC.	","Leupold & Stevens	"
"LEVEL 3 COMMUNICATIONS LIMITED LIABILITY COMPANY	","Level 3 Communications 	"
"LEXMARK INTERNATIONAL INC	","Lexmark International	"
"LIFE FITNESS, INC.	","Life Fitness	"
"LIGHTED SIGNS DIRECT, INC	","Lighted Signs Direct	"
"LIGHTHOUSE FOR THE BLIND IN NEW ORLEANS, INCORPORATED, THE	","The Lighthouse For The Blind in New Orleansorporated	"
"LINCOLN MOVING & STORAGE OF BUFFALO, INC.	","Lincoln Moving & Storage of Buffalo	"
"LINDHOLM AND ASSOCIATES INCORPORATED	","Lindholm and Associates	"
"LINKEDIN CORPORATION	",Linkedin
"LIOCE GROUP INC., THE	","The Lioce Group	"
"LIONBRIDGE GLOBAL SOLUTIONS II, INC.	","Lionbridge Global Solutions Ii	"
"LIVEU INC.	",LiveU
"LOGICUBE CORPORATION	",Logicube
"LOGISTICS APPLICATIONS INC.	","Logistics Applications	"
"LONG BEACH, CITY OF	","City of Long Beach	"
"LOYAL SOURCE GOVERNMENT SERVICES LLC	","Loyal Source Government Services	"
"LRP PUBLICATIONS, INC.	","LRP Publications	"
"LT BUSINESS SOLUTIONS, LLC	","LT Business Solutions	"
"LUELLA NELSON	","Luella Nelson	"
"LUND INDUSTRIES, INC.	","Lund Industries	"
"LURK ENTERPRISE SOLUTIONS	","Lurk Enterprise Solutions	"
"LUXFER MAGTECH, INC.	","Luxfer Magtech	"
"LYME COMPUTER SYSTEMS, INC.	","Lyme Computer Systems	"
"M A FEDERAL INCORPORATED (2233)	",M A Federal
"M V M, INC.	","M V M	"
"M-PAK, INC.	","M-Pak	"
"M. L. BENJAMIN ENTERPRISES INC.	","M. L. Benjamin Enterprises	"
"M.A.N.S. DISTRIBUTORS, INC.	","M.A.N.S. Distributors	"
"MA FEDERAL, INC.	","MA Federal	"
"MACQUEEN, MICHAEL C	",Michael C Macqueen
"MACRO COMPANIES, INC.	","Macro Companies	"
"MAGNET FORENSICS USA, INC.	","Magnet Forensics USA	"
"MANAGED CARE ADVISORS, INC.	","Managed Care Advisors	"
"MANAGEMENT & TRAINING CORPORATION	",Management & Training
"MANAGEMENT CONCEPTS INCORPORATED	","Management Concepts	"
"MANAGEMENT CONCEPTS, INC.	","Management Concepts	"
"MANTECH M S M SECURITY SERVICE	","Mantech M S M Security Service	"
"MARCON INTERNATIONAL, INC.	","Marcon International	"
"MARDEN ELECTRIC L.L.C.	","Marden Electric	"
"MARENTCO, INC.	","Marentco	"
"MARINUS ANALYTICS LLC	","Marinus Analytics	"
"MARQUARDT, JENNIFER	",Jennifer Marquardt
"MARQUIS CONSULTING SERVICES, INC.	","Marquis Consulting Services	"
"MARRIOTT INTERNATIONAL, INC.	","Marriott International	"
"MARYLAND ECONOMIC DEVELOPMENT CORPORATION	",Maryland Economic Development
"MATT BURNS LTD	",Matt Burns Ltd
"MAVAGI ENTERPRISES INC	","Mavagi Enterprises	"
"MAVAGI ENTERPRISES INCORPORATED	","Mavagi Enterprises	"
"MAXIM HEALTHCARE SERVICES, INC.	","Maxim Healthcare Services	"
"MAYA INTERPRETERS	","Maya Interpreters	"
"MCCALL HANDLING CO.	","McCall Handling Co.	"
"MCKINSEY & COMPANY, INC. WASHINGTON D.C.	","McKinsey & Company Washington D.C.	"
"MCMANIS ASSOCIATES INC	","McManis Associates	"
"MCMANIS ASSOCIATES INC.	","McManis Associates	"
"MCP COMPUTER PRODUCTS INC.	","MCP Computer Products	"
"MEDALCRAFT MINT INC., THE	","The Medalcraft Mint	"
"MEDALCRAFT MINT, INC, THE	","The Medalcraft Mint	"
"MEDICAL TECHNOLOGY ASSOCIATES INC	","Medical Technology Associates	"
"MERISTAR PENTAGON CITY, LLC	","Meristar Pentagon City	"
"MERRIMAC PETROLEUM, INC.	","Merrimac Petroleum	"
"MESA, CITY OF	","City of Mesa	"
"METRO OFFICE PRODUCTS, LLC	","Metro office Products	"
"METRO OFFICE SOLUTIONS, INC.	","Metro office Solutions	"
"METROPOLITAN INTERPRETERS & TRANSLATORS, INC.	","Metropolitan Interpreters & Translators	"
"METROTEC, INC.	","Metrotec	"
"MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION	",Microsoft Corporation Sitz in Redmond
"MIDDLE GEORGIA DIVERSIFIED INDUSTRIES INC	","Middle Georgia Diversified Industries	"
"MIDWEST RESCUE PRODUCTS, INC.	","Midwest Rescue Products	"
"MIDWEST SECURITY SERVICES, INC	","Midwest Security Services	"
"MIGRANT CLINICIANS NETWORK INC	","Migrant Clinicians Network	"
"MIL-COMM GROUP INTERNATIONAL, LLC	","Mil-Comm Group International	"
"MILLENNIUM HEALTH & FITNESS INC.	","Millennium Health & Fitness	"
"MIRACLE SYSTEMS LLC	","Miracle Systems	"
"ML CLICK MARKETING LLC	","ML Click Marketing	"
"MLINQS LIMITED LIABILITY COMPANY	","MLinqs 	"
"MODEL CONCEPT COMMUNICATIONS, LLC	","Model Concept Communications	"
"MODULAR CONCEPTS, INC.	","Modular Concepts	"
"MONTGOMERY MARKETING INC	","Montgomery Marketing	"
"MONTROSE AIR QUALITY SERVICES, LLC	","Montrose Air Quality Services	"
"MOSAIK SOLUTIONS, LLC	","Mosaik Solutions	"
"MOTIONDSP, INC.	",MotionDSP
"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF	","New York State Department of Motor Vehicles	"
"MOTOROLA INCORPORATED	","Motorola	"
"MOTOROLA SOLUTIONS, INC.	","Motorola Solutions	"
"MOUNTAIN RF SENSORS, INC	","Mountain RF Sensors	"
"MSAB INCORPORATED	",MSAB
"MUSSELSHELL, COUNTY OF	","County of Musselshell	"
"MVM INCORPORATED	","MVM	"
"MY TONER USA INC.	","My Toner USA	"
"MYSTAIRE INC.	","Mystaire	"
"MYTHICS, INC	","Mythics	"
"N CALIFORNIA REGIONAL PUBLIC SAFETY TRAINING AUTHORITY	","N California Regional Public Safety Training Authority	"
"N2GRATE GOVERNMENT TECHNOLOGY SOLUTIONS, LLC	","N2Grate Government Technology Solutions	"
"NAKAMOTO GROUP, INC., THE	",The Nakamoto Group
"NAL RESEARCH CORP.	","NAL Research	"
"NATIONAL BUSINESS FURNITURE, LLC	","National Business Furniture	"
"NATIONAL COMMISSION ON CORRECTIONAL HEALTH CARE	","National Commission On Correctional Health Care	"
"NATIONAL CYBER-FORENSICS AND TRAINING ALLIANCE LIMITED.	",National Cyber-Forensics and Training Alliance
"NATIONAL HOSPITALITY MANAGEMENT	","National Hospitality Management	"
"NATIONAL INDUSTRIES FOR THE BLIND	","National Industries For The Blind	"
"NATIONAL LAW ENFORCEMENT TELECOMMUNICATIONS SYSTEMS INC	","National Law Enforcement Telecommunications Systems	"
"NATIONAL SEPTEMBER 11 MEMORIAL AND MUSEUM AT THE WORLD TRADE CENTER FOUNDATION, INC.	","National September 11 Memorial and Museum at The World Trade Center Foundation	"
"NATIONAL SHERIFFS' ASSOCIATION	","National Sheriffs' Association	"
"NATIVE ENERGY & TECHNOLOGY, INC.	","Native Energy & Technology	"
"NC4 PUBLIC SECTOR LIMITED LIABILITY COMPANY	","NC4 Public Sector 	"
"NEAL R GROSS AND COMPANY INC	","Neal R Gross and Company	"
