origName,cleanName
"NELSON ENTERPRISE TECHNOLOGY SERVICES LLC	","Nelson Enterprise Technology Services	"
"NEO TECHNOLOGIES, INC.	","Neo Technologies	"
"NEOSTEK, INC	",NEOSTEK
"NET DIRECT SYSTEMS, LLC	","Net Direct Systems	"
"NETCOM LEARNING INC.-NY	","Netcom Learning-NY	"
"NEW DIMENSION AWARDS INC	","New Dimension Awards	"
"NEW LIFE CHINESE LAUNDRY INC	","New Life Chinese Laundry	"
"NEW TECH CENTRAL LLC	","New Tech Central	"
"NEW TECH SOLUTIONS INC	","New Tech Solutions	"
"NEW YORK, CITY OF	","City of New York	"
"NOBLE SALES CO INC	","Noble Sales	"
"NORD ATLANTIC TRADING INC	","Nord Atlantic Trading	"
"NORFOLK SAFE COMPANY	","Norfolk Safe Company	"
"NORTH CENTRAL SIGHT SERVICES, INC.	","North Central Sight Services	"
"NORTHEASTERN UNIVERSITY	","Northeastern University	"
"NORTHROP GRUMMAN SYSTEMS CORPORATION	",Northrop Grumman Systems
"NOSLER, INC.	","Nosler	"
"NOVA SOLUTIONS, INC.	","Nova Solutions	"
"NPEE L.C	","NPEE L.C	"
"NTERONE CORPORATION	",Nterone
"NYP CORP	","NYP 	"
"OBSIDIAN INTEGRATION LLC	","Obsidian Integration	"
"OFFICE DEPOT, INC.	","office Depot	"
"OLIN CORPORATION	",Olin
"OMNIFICS, INC.	","Omnifics	"
"OMNIPLEX WORLD SERVICES CORP	","Omniplex World Services 	"
"ONE STOP ENVIRONMENTAL, LLC	","One Stop Environmental	"
"ONLINE CONSULTING, INC.	","Online Consulting	"
"OPSEC SECURITY, INC.	","Opsec Security	"
"OPTECH, LLC	","Optech	"
"OPTIM INC	","Optim	"
"OPTIMO INFORMATION TECHNOLOGY LLC	","Optimo Information Technology	"
"OPTIVOR TECHNOLOGIES, L.L.C.	","Optivor Technologies,	"
"ORLANDO, CITY OF	","City of Orlando	"
"OSIRUS, INC.	","Osirus	"
"OUT & EQUAL WORKPLACE ADVOCATES	","Out & Equal Workplace Advocates	"
"OUTLOOK-NEBRASKA, INC.	","Outlook-Nebraska	"
"OWYHEE CAPITAL CORP	","Owyhee Capital 	"
"PACER SERVICE CENTER	","Pacer Service Center	"
"PACIFIC DATACOM SYSTEMS INC.	","Pacific Datacom Systems	"
"PACIFIC LIGHTING MANAGEMENT, INC	","Pacific Lighting Management	"
"PACIFIC LINK INTERNATIONAL CORPORATION	",Pacific Link International
"PACIFIC LINK INTERNATIONAL, CORP.	","Pacific Link International	"
"PACKET FORENSICS, LLC	","Packet Forensics	"
"PALANTIR TECHNOLOGIES INC.	","Palantir Technologies	"
"PALANTIR TECHNOLOGIES INCORPORATED	","Palantir Technologies	"
"PALANTIR USG, INC.	","Palantir USG	"
"PALMER, PAUL	",Paul Palmer
"PANAMERICA COMPUTERS, INC.	","Panamerica Computers	"
"PARKER TIDE CORP.	","Parker Tide	"
"PAT V. MACK, INC.	","Pat V. Mack	"
"PATRIOT COMM	","Patriot Comm	"
"PATRIOT SOLUTIONS, INC	","Patriot Solutions	"
"PCS ENTERPRISES, INC.	","PCS Enterprises	"
"PEN-LINK, LTD.	",Pen-Link
"PENN TOOL CO INC	","Penn Tool	"
"PEOPLE'S ACCIDENT INFORMATION SERVICE, INC.	","People's Accident Information Service	"
"PERATON INC.	","Peraton	"
"PERSONNEL DECISIONS RESEARCH INSTITUTES, INC	","Personnel Decisions Research Institutes	"
"PG PUBLIC SERVICES, LLC	","PG Public Services	"
"PHACIL, INC.	","Phacil	"
"PHILADELPHIA, CITY OF	","City of Philadelphia	"
"PHOENIX SUPPLY, LLC	","Phoenix Supply	"
"PHOENIX TEXTILE CORPORATION	",Phoenix Textile
"PHOENIX TRADING INC.	","Phoenix Trading	"
"PHONOSCOPE, INC.	","Phonoscope	"
"PIERCE MANUFACTURING, INC.	","Pierce Manufacturing	"
"PINAL, COUNTY OF	","County of Pinal	"
"PMA-13, INC.	","PMA-13	"
"PN AUTOMATION, INC.	","PN Automation	"
"POINT BLANK ENTERPRISES, INC.	","Point Blank Enterprises	"
"PORTALS HOTEL SITE LLC	","Portals Hotel Site	"
"PORTION-PAC CHEMICAL CORPORATI	",Portion-Pac Chemical Corporation
"POTOMAC FORUM LTD	",Potomac Forum
"POTOMACWAVE CONSULTING, INC.	","Potomacwave Consulting	"
"PRADO FAMILY SHOOTING RANGE	","Prado Family Shooting Range	"
"PREMIER & COMPANIES INC.	","Premier & Companies	"
"PREMIER & COMPANIES, INC.	","Premier & Companies	"
"PREMIER AND COMPANIES INCORPORATED	","Premier and Companies	"
"PREMIUM PARKING SERVICE LLC	","Premium Parking Service	"
"PREMIUM STATIONERS, INC.	","Premium Stationers	"
"PRESENTA PLAQUE CORPORATION	",Presenta Plaque
"PRESIDENTIAL AVIATION, INC.	","Presidential Aviation	"
"PRICE MODERN LLC	","Price Modern	"
"PRICEWATERHOUSECOOPERS PUBLIC SECTOR LLP	",Pricewaterhousecoopers Public Sector
"PRINTREE LLC	","Printree	"
"PRIORITY COURIER	","Priority Courier	"
"PRIZUM INC	","Prizum	"
"PROCENTRIX INCORPORATED	","Procentrix	"
"PROCENTRIX, INC.	","Procentrix	"
"PRODUCTION AUTOMATION CORPORATION	",Production Automation
"PROFESSIONALS, (THE), LLC	","The Professionals	"
"PROGEND INC	","Progend	"
"PROGRESSIVE ENVIRONMENTAL SERVICES, INC.	","Progressive Environmental Services	"
"PROJECT PERFORMANCE COMPANY LLC	","Project Performance Company	"
"PROMAXIMA MANUFACTURING, LTD	","Promaxima Manufacturing	"
"PROTECTIVE PRODUCTS ENTERPRISES, INC	","Protective Products Enterprises	"
"PROVENGO, LLC	","Provengo	"
"PROXDOSE RADIATION SENSORS, LLC	","Proxdose Radiation Sensors	"
"PRUDENTIAL OVERALL SUPPLY	","Prudential Overall Supply	"
"PUBLIC SAFETY & CORRECTIONAL SERVICES, MARYLAND DEPT OF	","Maryland Dept of Public Safety & Correctional Services	"
"PURPLE COMMUNICATIONS, INC.	","Purple Communications	"
"PYRAMID SYSTEMS, INC.	","Pyramid Systems	"
"QBASE-MCNEIL INTEGRATED SOLUTIONS	","QBase-Mcneil Integrated Solutions	"
"QUALIFICATION TARGETS INC	","Qualification Targets	"
"QUALITY COAST INCORPORATED	","Quality Coast	"
"R A MECHANICAL & SONS, INC.	","R A Mechanical & Sons	"
"R H G GROUP INCORPORATED	","R H G Group	"
"RADVANY, PAUL	","Paul Radvany	"
"RANGE 54, LLC	","Range 54	"
"RECALL TECHNOLOGIES, INC.	","Recall Technologies	"
"RECONROBOTICS, INC.	","Reconrobotics	"
"RECOVERY POINT SYSTEMS, INC.	","Recovery Point Systems	"
"RED CARROT INC	","Red Carrot	"
"RED RIVER COMPUTER CO., INC.	","Red River Computer Co.,	"
"REED ELSEVIER, INC.	","Reed Elsevier	"
"RELX INC.	",RELX
"REMINGTON ARMS COMPANY, INC.	","Remington Arms Company	"
"REMINGTON ARMS COMPANY, LLC	","Remington Arms Company	"
"RENEW RESOURCES, INC.	","Renew Resources	"
"REPUBLIC PROPERTIES CORP	","Republic Properties 	"
"RESEARCH ELECTRONICS INTERNATIONAL, L.L.C.	","Research Electronics International,	"
"RESPONSE MARKETING, INC.	","Response Marketing	"
"RESURGENS RISK MANAGEMENT, INC.	","Resurgens Risk Management	"
"RICOH USA, INC.	","Ricoh USA	"
"RIGAKU ANALYTICAL DEVICES, INC.	","Rigaku Analytical Devices	"
"RIMAGE CORPORATION	",Rimage
"RISKLENS, INC.	","Risklens	"
"RITA'S TAPE MEDIA LLC	","Rita's Tape Media	"
"RITE-KEM, INC.	","Rite-Kem	"
"RIVER CITY RANGE, LLC	","River City Range	"
"RMA ARMAMENT, INC	","RMA Armament	"
"ROSAMILIA BUILDERS	","Rosamilia Builders	"
"RSTUDIO, INC.	","RStudio	"
"RUAG AMMOTEC USA, INC.	","Ruag Ammotec USA	"
"RUDMAN WINK ASSOCIATES, LLC	","Rudman Wink Associates	"
"S J BASHEN INC	","S J Bashen	"
"SACRAMENTO, COUNTY OF	","County of Sacramento	"
"SAF ENG ASSOCIATES, INC	","Saf Eng Associates	"
"SAFARI BOOKS ONLINE, LLC	","Safari Books Online	"
"SAFARILAND, LLC	","Safariland	"
"SAFE RESTRAINTS, INC.	","Safe Restraints	"
"SAFER SOCIETY GROUP SWEDEN AB	","Safer Society Group Sweden AB	"
"SAI SYSTEMS INTERNATIONAL INCORPORATED	","SAI Systems International	"
"SAMPSON PARTNERS LLC	","Sampson Partners	"
"SAN DIEGO ASSOCIATION OF GOVERNMENTS	","San Diego Association of Governments	"
"SAN DIEGO POWER, LLC	","San Diego Power	"
"SAN DIEGO, COUNTY OF	","County of San Diego	"
"SANDOVAL CUSTOM CREATIONS, INC.	","Sandoval Custom Creations	"
"SANTA CLARA, COUNTY OF	","County of Santa Clara	"
"SATCOM DIRECT COMMUNICATIONS, INC.	","Satcom Direct Communications	"
"SAUL MINEROFF ELECTRONICS INC.	","Saul Mineroff Electronics	"
"SAVANTAGE FINANCIAL SERVICES,	","Savantage Financial Services,	"
"SAYRES AND ASSOCIATES CORPORATION	",Sayres and Associates
"SCALETTA MOLONEY ARMORING CORP	","Scaletta Moloney Armoring 	"
"SCI, INC.	",SCI
"SCIENCE APPLICATIONS INTERNATIONAL CORPORATION	",Science Applications International
"SCIF SOLUTIONS, INC.	","SCIF Solutions	"
"SEATTLE POLICE ATHLETIC ASSOC	","Seattle Police Athletic Assoc	"
"SECURITY ENGINEERED MCHY COMPANY	","Security Engineered Mchy Company	"
"SECURITY SOLUTIONS GROUP, L.L.C.	",Security Solutions Group
"SECURITYHUNTER, INC.	","Securityhunter	"
"SEIKOSOFT, LLC	","Seikosoft	"
"SELEX ES INC.	","Selex ES	"
"SENDUM WIRELESS CORPORATION	",Sendum Wireless
"SENEVIRATNE, ANUSHA	",Anusha Seneviratne
"SENTEL CORPORATION	",Sentel
"SENTRY AIR SYSTEMS, INC.	","Sentry Air Systems	"
"SERCO SERVICES INC.	","Serco Services	"
"SERVICE WORKS, INC.	","Service Works	"
"SETCAN CORPORATION	",SETCAN
"SEVA TECHNICAL SERVICES, INC.	","Seva Technical Services	"
"SEVATEC INC.	","Sevatec	"
"SHARP ELECTRONICS CORPORATION	",Sharp Electronics
"SHERBURNE, COUNTY OF (INC)	",County of Sherburne
"SHIFFLER EQUIPMENT SALES, INC.	","Shiffler Equipment Sales	"
"SHINE ENTERPRISES, LLC	","Shine Enterprises	"
"SHOE CORPORATION OF BIRMINGHAM, INC.	","Shoe Corporation of Birmingham	"
"SHORE SOLUTIONS, INC.	","Shore Solutions	"
"SHRED-IT USA INC.	","Shred-It USA	"
"SHRED-IT USA LLC	","Shred-It USA	"
"SI INTERNATIONAL INCORPORATED (7278)	",SI International
"SIG SAUER, INC	",SIG SAUER
"SIGNATURE TECHNOLOGY SOLUTIONS, INC.	","Signature Technology Solutions	"
"SILAS FRAZIER REALTY LLC	","Silas Frazier Realty	"
"SILENT GUARD SYSTEMS INC	","Silent Guard Systems	"
"SIMON WIESENTHAL CENTER, INC.	","Simon Wiesenthal Center	"
"SIMPLE TECHNOLOGY SOLUTIONS INC.	","Simple Technology Solutions	"
"SIMPLEXGRINNELL LP	",SimplexGrinnell
"SINGHAL & CO, INC	","Singhal & Co	"
"SIRINA PROTECTION SYSTEMS CORP.	","Sirina Protection Systems	"
"SIRONA DENTAL, INC.	","Sirona Dental	"
"SIS GLOBAL SOLUTIONS, LLC	","SIS Global Solutions	"
"SIX CONTINENTS HOTELS, INC	","Six Continents Hotels	"
"SIXT RENT A CAR, LLC	","Sixt Rent A Car	"
"SMARTYSTREETS LLC	","Smartystreets	"
"SMD CORPORATION	",SMD
"SMITHMYER ELECTRONICS INC	","SmithMyer Electronics	"
"SMITHS DETECTION, INC.	","Smiths Detection	"
"SNAP, INC.	","Snap	"
"SOLUTIONS THROUGH INNOVATIVE TECHNOLOGIES, INC.	","Solutions Through Innovative Technologies	"
"SOLV LLC	","Solv	"
"SONITROL SECURITY SERVICES, INC.	","Sonitrol Security Services	"
"SOURCELINQ LLC	","Sourcelinq	"
"SOUTH METRO PUBLIC SAFETY TRAINING FACILITY	","South Metro Public Safety Training Facility	"
"SOUTHEAST VOCATIONAL ALLIANCE INC.	","Southeast Vocational Alliance	"
"SOUTHERN POLICE EQUIPMENT COMPANY INCORPORATED	","Southern Police Equipment Company	"
"SOUTHSIDE GARAGE AND USED AUTO PARTS LLC	","Southside Garage and Used Auto Parts	"
"SOUTHWEST SOLUTIONS GROUP, INC.	","Southwest Solutions Group	"
"SOUTHWESTERN SECURITY SERVICES, INC.	","Southwestern Security Services	"
"SPACESAVER STORAGE SYSTEMS, INC.	","Spacesaver Storage Systems	"
"SPARTAN CHEMICAL CO, INC	","Spartan Chemical	"
"SPECIALTY CARTRIDGE, INC.	","Specialty Cartridge	"
"SPECIALTY VEHICLE SOLUTIONS LIMITED LIABILITY COMPANY	","Specialty Vehicle Solutions 	"
"SPECTRUM SECURITY SERVICES, IN	","Spectrum Security Services	"
"SPECTRUM SECURITY SERVICES, INC.	","Spectrum Security Services	"
"SPECTRUM SERVICES GROUP, INC	","Spectrum Services Group	"
"SPERRY WEST INC	","Sperry West	"
"SPOT LLC	","Spot	"
"SPRINGFIELD, L.L.C.	","Springfield,	"
"SPRINT COMMUNICATIONS COMPANY L.P.	","Sprint Communications Company L.P.	"
"SPS INDUSTRIAL INC.	","SPS Industrial	"
"SQUARE ONE ARMORING SERVICES CO.	","Square One Armoring Services Co.	"
"ST NET APPTIS FIRSTSOURCE JOINT VENTURE	","St Net Apptis Firstsource Joint Venture	"
"STAMPS.COM INC.	","Stamps.com	"
"STAR POLY BAG INCORPORATED	","Star Poly Bag	"
"STAR POLY BAG, INC.	","Star Poly Bag	"
"STARSIDE SECURITY AND INVESTIGATION INCORPORATED	","Starside Security and Investigation	"
"STAT COURIER INC	","Stat Courier	"
"STATE POLICE, MICHIGAN DEPARTMENT OF	","Michigan Department of State Police	"
"STEP TWO INVESTMENTS LLC	","Step Two Investments	"
"STG INTERNATIONAL, INC.	","STG International	"
"STRATEGIC ENTERPRISE SOLUTIONS, INC.	","Strategic Enterprise Solutions	"
"STRONG GROUP INC	","Strong Group	"
"STRONG GROUP, INC.	","Strong Group	"
"SUCCESS TECH MANAGEMENT AND SERVICES, INC.	","Success Tech Management and Services	"
"SUMURI LLC	","Sumuri	"
"SUNSHINE MAKERS INC	","Sunshine Makers	"
"SUPREME SECURITY SYSTEMS, INC.	","Supreme Security Systems	"
"SUSTEEN INC	","Susteen	"
"SWANK MOTION PICTURES, INC.	","Swank Motion Pictures	"
"SWISH DATA CORPORATION	",Swish Data
"SYSTEC GROUP LLC	","Systec Group	"
"SYSTEMS RESEARCH AND APPLICATI	","Systems Research and Applicati	"
"SYSTEMS RESEARCH AND APPLICATIONS CORPORATION	",Systems Research and Applications
"SYTEL INCORPORATED	","Sytel	"
"T-REX CONSULTING CORPORATION	",T-Rex Consulting
"T.Q.M., INC.	","T.Q.M.,	"
"TAB PRODUCTS CO, LLC	","Tab Products	"
"TACTICAL & SURVIVAL SPECIALTIES, INC.	","Tactical & Survival Specialties	"
"TACTICAL MEDICAL SOLUTIONS, INC.	","Tactical Medical Solutions	"
"TAILORED TRAINING PROGRAMS, L.L.C.	","Tailored Training Programs,	"
"TALTON COMMUNICATIONS, INC.	","Talton Communications	"
"TAYLOR HOLDINGS LLC	","Taylor Holdings	"
"TCS INTERPRETING, INC.	","TCS Interpreting	"
"TECHNICAL COMMUNITIES INCORPORATED	","Technical Communities	"
"TECHNICAL MAINTENANCE AND SERVICES CORP	","Technical Maintenance and Services 	"
"TECHNOLOGY - MANAGEMENT & INNOVATIVE SOLUTIONS, LLC	","Technology - Management & Innovative Solutions	"
"TECHOPS SPECIALTY VEHICLES LLC	","Techops Specialty Vehicles	"
"TECOLOTE RESEARCH, INC.	","Tecolote Research	"
"TELCO SOLUTIONS INC	","Telco Solutions	"
"TELERIK INC.	","Telerik	"
"TENERGY CORPORATION	",Tenergy
"TENICA AND ASSOCIATES LLC	","Tenica and Associates	"
"TERATHINK CORPORATION	",Terathink
"TERMINIX INTERNATIONAL COMPANY	","Terminix International Company	"
"TESSCO INCORPORATED	","Tessco	"
"TESTEQUITY LLC	","Testequity	"
"TEXAS WORKFORCE COMMISSION	","Texas Workforce Commission	"
"TEXTRON INC.	","Textron	"
"THE GEO GROUP INCORPORATED	","The Geo Group	"
"THE MITRE CORPORATION	",The Mitre
"THE OFFICE GROUP INC	","The office Group	"
"THE PALMAS ACADEMY INC	","The Palmas Academy	"
"THOMSON REUTERS SPECIAL SERVICES LLC	","Thomson Reuters Special Services	"
"THUNDERCAT TECHNOLOGY, LLC	","Thundercat Technology	"
"TIDEWATER DISTRIBUTORS, LLC	","Tidewater Distributors	"
"TIFT, RICHARD T	",Richard T Tift
"TIME WARNER CABLE ENTERPRISES LLC	","Time Warner Cable Enterprises	"
"TIME WARNER CABLE INC.	","Time Warner Cable	"
"TIME WARNER CABLE INFORMATION SERVICES (HAWAII), LLC	","Time Warner Cable Information Services (Hawaii)	"
"TIME WARNER ENTERTAINMENT COMPANY, L.P.	","Time Warner Entertainment Company	"
"TINFOIL SECURITY INC	","Tinfoil Security	"
"TODD RADFORD	","Todd Radford	"
"TOMAHAWK DEFENSE, LLC	","Tomahawk Defense	"
"TONAWANDA SPORTSMEN'S CLUB INC	","Tonawanda Sportsmen's Club	"
"TOTAL CONCEPT 360 CONSULTING, LLC	","Total Concept 360 Consulting	"
"TRAILBOSS ENTERPRISES, INC.	","Trailboss Enterprises	"
"TRAINING CONNECTION INCORPORATED (6903)	",Training Connection
"TREASURE ELECTRONICS INC	","Treasure Electronics	"
"TREEFORT INC	","Treefort	"
"TRI-COR INDUSTRIES, INC.	","Tri-Cor Industries	"
"TRIMECH SOLUTIONS, LLC	","Trimech Solutions	"
"TRINITY SERVICES GROUP, INC.	","Trinity Services Group	"
"TRIRIGA INC	","Tririga	"
"TROFHOLZ TECHNOLOGIES, INC.	","Trofholz Technologies	"
"TRS INC.	","TRS	"
"TRUCKVAULT, INC.	","Truckvault	"
"TRUSTED TRANSLATIONS INC	","Trusted Translations	"
"TSRC, INC.	",TSRC
"TSYMMETRY, INC.	","Tsymmetry	"
"TU, LLC	",TU
"TUCSON HOTELS LP	",Tucson Hotels
"TWENTYEIGHTY STRATEGY EXECUTION, INC.	","Twentyeighty Strategy Execution	"
"TYCO INTEGRATED SECURITY LLC	","Tyco Integrated Security	"
"U S  GOVERNMENT CONSULTING GRO	",U S Government Consulting Group
"U S  TACTICAL SUPPLY INC	","U S Tactical Supply	"
"U S BUSINESS INTERIORS INCORPORATED	","U S Business Interiors	"
"U S TACTICAL SUPPLY INC	","U S Tactical Supply	"
"U.S. BANCORP	","U.S. Bancorp	"
"U.S. FEDERAL SOLUTIONS, INC.	","U.S. Federal Solutions	"
"U.S. LEGAL SUPPORT, INC.	","U.S. Legal Support	"
"ULTIMATE TRAINING MUNITIONS, INC	","Ultimate Training Munitions	"
"UMBC TRAINING CENTERS LLC	","UMBC Training Centers	"
"UNIFIRST CORPORATION	",Unifirst
"UNIFORMS MANUFACTURING, INC.	","Uniforms Manufacturing	"
"UNISTAR-SPARCO COMPUTERS, INC.	","Unistar-Sparco Computers	"
"UNITED PARCEL SERVICE CO.	","United Parcel Service	"
"UNITED PARCEL SERVICE INCORPORATED (OH) (2075)	",United Parcel Service OH
"UNITED SITE SERVICES, INC.	","United Site Services	"
"UNITED TACTICAL SYSTEMS, LLC	","United Tactical Systems	"
"UNIVERSAL LANGUAGE CORPORATION	",Universal Language
"UNIVERSAL MUSIC-MGB NA LLC	","Universal Music-MGB NA	"
"UNIVERSITY OF ALABAMA AT BIRMINGHAM	","University of Alabama at Birmingham	"
"UNIVERSITY OF MARYLAND	","University of Maryland	"
"UNLIMITED STORAGE INC	","Unlimited Storage	"
"URBAN ADVENTURES AT GALLERY PLACE, LLC	","Urban Adventures at Gallery Place	"
"US 21, INC.	","US 21	"
"US ANODIZING, INC	","USA Anodizing	"
"USA COURIERS, INC.	","USA Couriers	"
"UTAH COMMUNICATIONS AUTHORITY	","Utah Communications Authority	"
"V.H. BLACKINTON & CO., INC.	",V.H. Blackinton & Co
"V3 GATE TEAM, LLP	",V3 Gate Team
"V3GATE, LLC	","V3gate	"
"VALDATA TELECOM	","Valdata Telecom	"
"VALYTICS, LLC	","Valytics	"
"VARIDESK, LLC	","Varidesk	"
"VARNER MILLER ASSOCIATES	","Varner Miller Associates	"
"VARNERMILLER, LLC	","Varnermiller	"
"VASTEC, INC.	","Vastec	"
"VENTURA, COUNTY OF	","County of Ventura	"
"VENTURE NETCOMM, INC.	","Venture Netcomm	"
"VERMONT STATE COLLEGES	","Vermont State Colleges	"
"VETERAN TECHNOLOGY PARTNERS II LLC	","Veteran Technology Partners	"
"VF IMAGEWEAR, INC.	","VF Imagewear	"
"VICON INDUSTRIES INC	","Vicon Industries	"
"VICTORY SUPPLY, LLC	","Victory Supply	"
"VIDENTIFIER TECHNOLOGIES EHF	","Videntifier Technologies	"
"VIKING CORPORATION, THE	",The Viking
"VILLAGE OF OAK LAWN, THE	","The Village of Oak Lawn	"
"VINELAND, CITY OF	","City of Vineland	"
"VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY	","Virginia Polytechnic Institute & State University	"
"VISIONARY INTEGRATION PROFESSIONALS LLC	","Visionary Integration Professionals	"
"VISIONWORX, LLC	","Visionworx	"
"VISTA OUTDOOR SALES LLC	","Vista Outdoor Sales	"
"VISUAL SYSTEMS GROUP, INC.	","Visual Systems Group	"
"VOHNE LICHE KENNELS INC	","Vohne Liche Kennels	"
"VOLEXITY, INC.	","Volexity	"
"VOLICON INC.	","Volicon	"
"VONHOF, JEANNE M ARBITRATOR AND MEDIATOR	","Jeanne M Vonhof, Arbitrator and Mediator	"
"VOUND COLORADO, LTD.	","Vound Colorado,	"
"W W GRAINGER, INC	","W W Grainger	"
"WABANA GROUP LLC	","Wabana Group	"
"WACKENHUT SERVICES, INCORPORATED	","Wackenhut Servicesorporated	"
"WATCH SYSTEMS LIMITED LIABILITY COMPANY	","Watch Systems 	"
"WEBER COMPUTER SUPPLY COMPANY	","Weber Computer Supply Company	"
"WEBSEDGE LTD	","Websedge Ltd	"
"WECSYS LIMITED LIABILITY COMPANY (6769)	","WECsys	"
"WECSYS LLC	","WECsys	"
"WEIDENBENNER MARKETING ASSOCIATES, INC.	","Weidenbenner Marketing Associates	"
"WEST PUBLISHING CORPORATION	",West Publishing
"WESTWIND TEAM LLP	","Westwind Team	"
"WEXLER TECHNICAL SOLUTIONS, INC.	","Wexler Technical Solutions	"
"WHISPERING PINES ENTERPRISES, LTD	","Whispering Pines Enterprises	"
"WHITAKER BROTHERS BUSINESS MACHINES INC	","Whitaker Brothers Business Machines	"
"WICKLANDER ZULAWSKI AND ASSOCIATES, INC.	","Wicklander Zulawski and Associates	"
"WIDEPOINT INTEGRATED SOLUTIONS CORP.	","Widepoint Integrated Solutions	"
"WILDFLOWER INTERNATIONAL LIMITED	",Wildflower International
"WILDFLOWER INTERNATIONAL, LTD.	","Wildflower International,	"
"WINNOW MANAGEMENT CORPORATION	",Winnow Management
"WITMER ASSOCIATES INCORPORATED	","Witmer Associates	"
"WMK SAN ANTONIO LLC	","Wmk San Antonio	"
"WOLCOTT GUNS INC	","Wolcott Guns	"
"WORD SYSTEMS INC	","Word Systems	"
"WORLD WIDE ENTERPRISES INC	","World Wide Enterprises	"
"WRIGGLESWORTH ENTERPRISES, INC.	","Wrigglesworth Enterprises	"
"X BRAND MATTRESS LLC	","X Brand Mattress	"
"XEROX CORPORATION	",Xerox
"XL ASSOCIATES INC.	","XL Associates	"
"XL ASSOCIATES, INC.	","XL Associates	"
"XRAD TELE-SERVICES INC	","Xrad Tele-Services	"
"YOUNG SCALE CO., LLC	","Young Scale Co.	"
"ZEE TECHNOLOGIES, INC.	","Zee Technologies	"
"ZENETEX, LLC	","Zenetex	"
"ZEPHYR AVIATION, LLC	","Zephyr Aviation	"
"ZONES, INC.	","Zones	"
