"origName","cleanName"
"ISYS, LLC	",""
"ITIN SCALE COMPANY INCORPORATED	",""
"J & S POWER SOLUTIONS INC	",""
"J OLIVA TRUCKING	",""
"J P INDUSTRIES INC	",""
"J S J RODRIGUEZ, INC.	",""
"J. DIAMOND GROUP, INC., THE	",""
"JACK KNELLY'S OFFICE FURNITURE SPECIALTIES, INC.	",""
"JACQUES CATERING OF NY INC	",""
"JANZ CORPORATION, THE	",""
"JASPER SAWYER COMPANY L.L.C	",""
"JAVA PRODUCTIONS, INC.	",""
"JCT, INC.	",""
"JDG ASSOCIATES, INC.	",""
"JDL DIGITAL SYSTEMS INC	",""
"JENKINS SECURITY CONSULTANTS INCORPORATED	",""
"JESUIT REFUGEE SERVICE USA	",""
"JETICO INC. OY	",""
"JOHN WILEY & SONS, INC.	",""
"JOHN WILEY AND SONS INCORPORATED	",""
"JOHNS HOPKINS UNIVERSITY, THE	",""
"JOHNSON CONTROLS SECURITY SOLUTIONS LLC	",""
"JOHNSON CONTROLS, INC.	",""
"JOLIVA TRUCKING LLC	",""
"JSI TELECOM INC.	",""
"JTF BUSINESS SYSTEMS CORPORATION	",""
"JTF BUSINESS SYSTEMS INC	",""
"JUSTICE PACKAGING CORPORATION	",""
"JUSTICETRAX INC.	",""
"JWM WHOLESALE, INC.	",""
"KADIX SYSTEMS LIMITED LIABILITY COMPANY	",""
"KADIX SYSTEMS, LLC	",""
"KALOS, INC.	",""
"KAPSUUN GROUP, LLC	",""
"KARDA SYSTEMS LLC	",""
"KCORP SUPPORT SERVICES, INC.	",""
"KCORP TECHNOLOGY SERVICES, INC.	",""
"KDH DEFENSE SYSTEMS INC	",""
"KEARNEY & COMPANY, P.C.	",""
"KEL-TECH PLASTICS, INC.	",""
"KELL SYSTEMS INC.	",""
"KERN, COUNTY OF	",""
"KEYSIGHT TECHNOLOGIES, INC.	",""
"KEYW CORPORATION, THE	",""
"KLEMES FAMILY HOLDINGS, INC.	",""
"KNIGHT POINT SYSTEMS, LLC	",""
"KNIGHT'S ARMAMENT COMPANY	",""
"KNOWLEDGEBANK, INC.	",""
"KOI COMPUTERS, INC.	",""
"KONICA MINOLTA BUSINESS SOLUTIONS U.S.A., INC.	",""
"KONICA MINOLTA BUSINESS SOLUTIONS USA INCORPORATED	",""
"KP ELECTRONICS LLC	",""
"KPAUL PROPERTIES, LLC	",""
"KROLL GOVERNMENT SERVICES	",""
"KRP DATA SYSTEMS	",""
"KUSAR COURT REPORTERS & LEGAL SERVICES,INC.	",""
"KWIZCOM CORPORATION	",""
"KYOCERA DOCUMENT SOLUTIONS AMERICA, INC.	",""
"KYOCERA MITA AMERICA INC	",""
"L AND R MANUFACTURING COMPANY	",""
"L-3 COMMUNICATIONS CORPORATION	",""
"L3 TECHNOLOGIES, INC.	",""
"LABORATORY CORPORATION OF AMERICA	",""
"LAFAYETTE INSTRUMENT COMPANY INC	",""
"LANDOLL CORPORATION	",""
"LANGUAGE LINE LLC	",""
"LANGUAGE TRAINING CENTER, INC.	",""
"LATAH, COUNTY OF	",""
"LAYTON LANDSCAPING	",""
"LC INDUSTRIES, INC.	",""
"LEGAL INTERPRETING SERVICES INCORPORATED	",""
"LEGAL INTERPRETING SERVICES, INC.	",""
"LEIDOS, INC.	",""
"LEUPOLD & STEVENS, INC.	",""
"LEVEL 3 COMMUNICATIONS LIMITED LIABILITY COMPANY	",""
"LEXMARK INTERNATIONAL INC	",""
"LIFE FITNESS, INC.	",""
"LIGHTED SIGNS DIRECT, INC	",""
"LIGHTHOUSE FOR THE BLIND IN NEW ORLEANS, INCORPORATED, THE	",""
"LINCOLN MOVING & STORAGE OF BUFFALO, INC.	",""
"LINDHOLM AND ASSOCIATES INCORPORATED	",""
"LINKEDIN CORPORATION	",""
"LIOCE GROUP INC., THE	",""
"LIONBRIDGE GLOBAL SOLUTIONS II, INC.	",""
"LIVEU INC.	",""
"LOGICUBE CORPORATION	",""
"LOGISTICS APPLICATIONS INC.	",""
"LONG BEACH, CITY OF	",""
"LOYAL SOURCE GOVERNMENT SERVICES LLC	",""
"LRP PUBLICATIONS, INC.	",""
"LT BUSINESS SOLUTIONS, LLC	",""
"LUELLA NELSON	",""
"LUND INDUSTRIES, INC.	",""
"LURK ENTERPRISE SOLUTIONS	",""
"LUXFER MAGTECH, INC.	",""
"LYME COMPUTER SYSTEMS, INC.	",""
"M A FEDERAL INCORPORATED (2233)	",""
"M V M, INC.	",""
"M-PAK, INC.	",""
"M. L. BENJAMIN ENTERPRISES INC.	",""
"M.A.N.S. DISTRIBUTORS, INC.	",""
"MA FEDERAL, INC.	",""
"MACQUEEN, MICHAEL C	",""
"MACRO COMPANIES, INC.	",""
"MAGNET FORENSICS USA, INC.	",""
"MANAGED CARE ADVISORS, INC.	",""
"MANAGEMENT & TRAINING CORPORATION	",""
"MANAGEMENT CONCEPTS INCORPORATED	",""
"MANAGEMENT CONCEPTS, INC.	",""
"MANTECH M S M SECURITY SERVICE	",""
"MARCON INTERNATIONAL, INC.	",""
"MARDEN ELECTRIC L.L.C.	",""
"MARENTCO, INC.	",""
"MARINUS ANALYTICS LLC	",""
"MARQUARDT, JENNIFER	",""
"MARQUIS CONSULTING SERVICES, INC.	",""
"MARRIOTT INTERNATIONAL, INC.	",""
"MARYLAND ECONOMIC DEVELOPMENT CORPORATION	",""
"MATT BURNS LTD	",""
"MAVAGI ENTERPRISES INC	",""
"MAVAGI ENTERPRISES INCORPORATED	",""
"MAXIM HEALTHCARE SERVICES, INC.	",""
"MAYA INTERPRETERS	",""
"MCCALL HANDLING CO.	",""
"MCKINSEY & COMPANY, INC. WASHINGTON D.C.	",""
"MCMANIS ASSOCIATES INC	",""
"MCMANIS ASSOCIATES INC.	",""
"MCP COMPUTER PRODUCTS INC.	",""
"MEDALCRAFT MINT INC., THE	",""
"MEDALCRAFT MINT, INC, THE	",""
"MEDICAL TECHNOLOGY ASSOCIATES INC	",""
"MERISTAR PENTAGON CITY, LLC	",""
"MERRIMAC PETROLEUM, INC.	",""
"MESA, CITY OF	",""
"METRO OFFICE PRODUCTS, LLC	",""
"METRO OFFICE SOLUTIONS, INC.	",""
"METROPOLITAN INTERPRETERS & TRANSLATORS, INC.	",""
"METROTEC, INC.	",""
"MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION	",""
"MIDDLE GEORGIA DIVERSIFIED INDUSTRIES INC	",""
"MIDWEST RESCUE PRODUCTS, INC.	",""
"MIDWEST SECURITY SERVICES, INC	",""
"MIGRANT CLINICIANS NETWORK INC	",""
"MIL-COMM GROUP INTERNATIONAL, LLC	",""
"MILLENNIUM HEALTH & FITNESS INC.	",""
"MIRACLE SYSTEMS LLC	",""
"ML CLICK MARKETING LLC	",""
"MLINQS LIMITED LIABILITY COMPANY	",""
"MODEL CONCEPT COMMUNICATIONS, LLC	",""
"MODULAR CONCEPTS, INC.	",""
"MONTGOMERY MARKETING INC	",""
"MONTROSE AIR QUALITY SERVICES, LLC	",""
"MOSAIK SOLUTIONS, LLC	",""
"MOTIONDSP, INC.	",""
"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF	",""
"MOTOROLA INCORPORATED	",""
"MOTOROLA SOLUTIONS, INC.	",""
"MOUNTAIN RF SENSORS, INC	",""
"MSAB INCORPORATED	",""
"MUSSELSHELL, COUNTY OF	",""
"MVM INCORPORATED	",""
"MY TONER USA INC.	",""
"MYSTAIRE INC.	",""
"MYTHICS, INC	",""
"N CALIFORNIA REGIONAL PUBLIC SAFETY TRAINING AUTHORITY	",""
"N2GRATE GOVERNMENT TECHNOLOGY SOLUTIONS, LLC	",""
"NAKAMOTO GROUP, INC., THE	",""
"NAL RESEARCH CORP.	",""
"NATIONAL BUSINESS FURNITURE, LLC	",""
"NATIONAL COMMISSION ON CORRECTIONAL HEALTH CARE	",""
"NATIONAL CYBER-FORENSICS AND TRAINING ALLIANCE LIMITED.	",""
"NATIONAL HOSPITALITY MANAGEMENT	",""
"NATIONAL INDUSTRIES FOR THE BLIND	",""
"NATIONAL LAW ENFORCEMENT TELECOMMUNICATIONS SYSTEMS INC	",""
"NATIONAL SEPTEMBER 11 MEMORIAL AND MUSEUM AT THE WORLD TRADE CENTER FOUNDATION, INC.	",""
"NATIONAL SHERIFFS' ASSOCIATION	",""
"NATIVE ENERGY & TECHNOLOGY, INC.	",""
"NC4 PUBLIC SECTOR LIMITED LIABILITY COMPANY	",""
"NEAL R GROSS AND COMPANY INC	",""
"NELSON ENTERPRISE TECHNOLOGY SERVICES LLC	",""
"NEO TECHNOLOGIES, INC.	",""
"NEOSTEK, INC	",""
"NET DIRECT SYSTEMS, LLC	",""
"NETCOM LEARNING INC.-NY	",""
"NEW DIMENSION AWARDS INC	",""
"NEW LIFE CHINESE LAUNDRY INC	",""
"NEW TECH CENTRAL LLC	",""
"NEW TECH SOLUTIONS INC	",""
"NEW YORK, CITY OF	",""
"NOBLE SALES CO INC	",""
"NORD ATLANTIC TRADING INC	",""
"NORFOLK SAFE COMPANY	",""
"NORTH CENTRAL SIGHT SERVICES, INC.	",""
"NORTHEASTERN UNIVERSITY	",""
"NORTHROP GRUMMAN SYSTEMS CORPORATION	",""
"NOSLER, INC.	",""
"NOVA SOLUTIONS, INC.	",""
"NPEE L.C	",""
"NTERONE CORPORATION	",""
"NYP CORP	",""
"OBSIDIAN INTEGRATION LLC	",""
"OFFICE DEPOT, INC.	",""
"OLIN CORPORATION	",""
"OMNIFICS, INC.	",""
"OMNIPLEX WORLD SERVICES CORP	",""
"ONE STOP ENVIRONMENTAL, LLC	",""
"ONLINE CONSULTING, INC.	",""
"OPSEC SECURITY, INC.	",""
"OPTECH, LLC	",""
"OPTIM INC	",""
"OPTIMO INFORMATION TECHNOLOGY LLC	",""
"OPTIVOR TECHNOLOGIES, L.L.C.	",""
"ORLANDO, CITY OF	",""
"OSIRUS, INC.	",""
"OUT & EQUAL WORKPLACE ADVOCATES	",""
"OUTLOOK-NEBRASKA, INC.	",""
"OWYHEE CAPITAL CORP	",""
"PACER SERVICE CENTER	",""
"PACIFIC DATACOM SYSTEMS INC.	",""
"PACIFIC LIGHTING MANAGEMENT, INC	",""
"PACIFIC LINK INTERNATIONAL CORPORATION	",""
"PACIFIC LINK INTERNATIONAL, CORP.	",""
"PACKET FORENSICS, LLC	",""
"PALANTIR TECHNOLOGIES INC.	",""
"PALANTIR TECHNOLOGIES INCORPORATED	",""
"PALANTIR USG, INC.	",""
"PALMER, PAUL	",""
"PANAMERICA COMPUTERS, INC.	",""
"PARKER TIDE CORP.	",""
"PAT V. MACK, INC.	",""
"PATRIOT COMM	",""
"PATRIOT SOLUTIONS, INC	",""
"PCS ENTERPRISES, INC.	",""
"PEN-LINK, LTD.	",""
"PENN TOOL CO INC	",""
"PEOPLE'S ACCIDENT INFORMATION SERVICE, INC.	",""
"PERATON INC.	",""
"PERSONNEL DECISIONS RESEARCH INSTITUTES, INC	",""
"PG PUBLIC SERVICES, LLC	",""
"PHACIL, INC.	",""
"PHILADELPHIA, CITY OF	",""
"PHOENIX SUPPLY, LLC	",""
"PHOENIX TEXTILE CORPORATION	",""
"PHOENIX TRADING INC.	",""
"PHONOSCOPE, INC.	",""
"PIERCE MANUFACTURING, INC.	",""
"PINAL, COUNTY OF	",""
"PMA-13, INC.	",""
"PN AUTOMATION, INC.	",""
"POINT BLANK ENTERPRISES, INC.	",""
"PORTALS HOTEL SITE LLC	",""
"PORTION-PAC CHEMICAL CORPORATI	",""
"POTOMAC FORUM LTD	",""
"POTOMACWAVE CONSULTING, INC.	",""
"PRADO FAMILY SHOOTING RANGE	",""
"PREMIER & COMPANIES INC.	",""
"PREMIER & COMPANIES, INC.	",""
"PREMIER AND COMPANIES INCORPORATED	",""
"PREMIUM PARKING SERVICE LLC	",""
"PREMIUM STATIONERS, INC.	",""
"PRESENTA PLAQUE CORPORATION	",""
"PRESIDENTIAL AVIATION, INC.	",""
"PRICE MODERN LLC	",""
"PRICEWATERHOUSECOOPERS PUBLIC SECTOR LLP	",""
"PRINTREE LLC	",""
"PRIORITY COURIER	",""
"PRIZUM INC	",""
"PROCENTRIX INCORPORATED	",""
"PROCENTRIX, INC.	",""
"PRODUCTION AUTOMATION CORPORATION	",""
"PROFESSIONALS, (THE), LLC	",""
"PROGEND INC	",""
"PROGRESSIVE ENVIRONMENTAL SERVICES, INC.	",""
"PROJECT PERFORMANCE COMPANY LLC	",""
"PROMAXIMA MANUFACTURING, LTD	",""
"PROTECTIVE PRODUCTS ENTERPRISES, INC	",""
"PROVENGO, LLC	",""
"PROXDOSE RADIATION SENSORS, LLC	",""
"PRUDENTIAL OVERALL SUPPLY	",""
"PUBLIC SAFETY & CORRECTIONAL SERVICES, MARYLAND DEPT OF	",""
"PURPLE COMMUNICATIONS, INC.	",""
"PYRAMID SYSTEMS, INC.	",""
"QBASE-MCNEIL INTEGRATED SOLUTIONS	",""
"QUALIFICATION TARGETS INC	",""
"QUALITY COAST INCORPORATED	",""
"R A MECHANICAL & SONS, INC.	",""
"R H G GROUP INCORPORATED	",""
"RADVANY, PAUL	",""
"RANGE 54, LLC	",""
"RECALL TECHNOLOGIES, INC.	",""
"RECONROBOTICS, INC.	",""
"RECOVERY POINT SYSTEMS, INC.	",""
"RED CARROT INC	",""
"RED RIVER COMPUTER CO., INC.	",""
"REED ELSEVIER, INC.	",""
"RELX INC.	",""
"REMINGTON ARMS COMPANY, INC.	",""
"REMINGTON ARMS COMPANY, LLC	",""
"RENEW RESOURCES, INC.	",""
"REPUBLIC PROPERTIES CORP	",""
"RESEARCH ELECTRONICS INTERNATIONAL, L.L.C.	",""
"RESPONSE MARKETING, INC.	",""
"RESURGENS RISK MANAGEMENT, INC.	",""
"RICOH USA, INC.	",""
"RIGAKU ANALYTICAL DEVICES, INC.	",""
"RIMAGE CORPORATION	",""
"RISKLENS, INC.	",""
"RITA'S TAPE MEDIA LLC	",""
"RITE-KEM, INC.	",""
"RIVER CITY RANGE, LLC	",""
"RMA ARMAMENT, INC	",""
"ROSAMILIA BUILDERS	",""
"RSTUDIO, INC.	",""
"RUAG AMMOTEC USA, INC.	",""
"RUDMAN WINK ASSOCIATES, LLC	",""
"S J BASHEN INC	",""
"SACRAMENTO, COUNTY OF	",""
"SAF ENG ASSOCIATES, INC	",""
"SAFARI BOOKS ONLINE, LLC	",""
"SAFARILAND, LLC	",""
"SAFE RESTRAINTS, INC.	",""
"SAFER SOCIETY GROUP SWEDEN AB	",""
"SAI SYSTEMS INTERNATIONAL INCORPORATED	",""
"SAMPSON PARTNERS LLC	",""
"SAN DIEGO ASSOCIATION OF GOVERNMENTS	",""
"SAN DIEGO POWER, LLC	",""
"SAN DIEGO, COUNTY OF	",""
"SANDOVAL CUSTOM CREATIONS, INC.	",""
"SANTA CLARA, COUNTY OF	",""
"SATCOM DIRECT COMMUNICATIONS, INC.	",""
"SAUL MINEROFF ELECTRONICS INC.	",""
"SAVANTAGE FINANCIAL SERVICES,	",""
"SAYRES AND ASSOCIATES CORPORATION	",""
"SCALETTA MOLONEY ARMORING CORP	",""
"SCI, INC.	",""
"SCIENCE APPLICATIONS INTERNATIONAL CORPORATION	",""
"SCIF SOLUTIONS, INC.	",""
"SEATTLE POLICE ATHLETIC ASSOC	",""
"SECURITY ENGINEERED MCHY COMPANY	",""
"SECURITY SOLUTIONS GROUP, L.L.C.	",""
"SECURITYHUNTER, INC.	",""
"SEIKOSOFT, LLC	",""
"SELEX ES INC.	",""
"SENDUM WIRELESS CORPORATION	",""
"SENEVIRATNE, ANUSHA	",""
"SENTEL CORPORATION	",""
"SENTRY AIR SYSTEMS, INC.	",""
"SERCO SERVICES INC.	",""
"SERVICE WORKS, INC.	",""
"SETCAN CORPORATION	",""
"SEVA TECHNICAL SERVICES, INC.	",""
"SEVATEC INC.	",""
"SHARP ELECTRONICS CORPORATION	",""
"SHERBURNE, COUNTY OF (INC)	",""
"SHIFFLER EQUIPMENT SALES, INC.	",""
"SHINE ENTERPRISES, LLC	",""
"SHOE CORPORATION OF BIRMINGHAM, INC.	",""
"SHORE SOLUTIONS, INC.	",""
"SHRED-IT USA INC.	",""
"SHRED-IT USA LLC	",""
"SI INTERNATIONAL INCORPORATED (7278)	",""
"SIG SAUER, INC	",""
"SIGNATURE TECHNOLOGY SOLUTIONS, INC.	",""
"SILAS FRAZIER REALTY LLC	",""
"SILENT GUARD SYSTEMS INC	",""
"SIMON WIESENTHAL CENTER, INC.	",""
"SIMPLE TECHNOLOGY SOLUTIONS INC.	",""
"SIMPLEXGRINNELL LP	",""
"SINGHAL & CO, INC	",""
"SIRINA PROTECTION SYSTEMS CORP.	",""
"SIRONA DENTAL, INC.	",""
"SIS GLOBAL SOLUTIONS, LLC	",""
"SIX CONTINENTS HOTELS, INC	",""
"SIXT RENT A CAR, LLC	",""
"SMARTYSTREETS LLC	",""
"SMD CORPORATION	",""
"SMITHMYER ELECTRONICS INC	",""
"SMITHS DETECTION, INC.	",""
"SNAP, INC.	",""
"SOLUTIONS THROUGH INNOVATIVE TECHNOLOGIES, INC.	",""
"SOLV LLC	",""
"SONITROL SECURITY SERVICES, INC.	",""
"SOURCELINQ LLC	",""
"SOUTH METRO PUBLIC SAFETY TRAINING FACILITY	",""
"SOUTHEAST VOCATIONAL ALLIANCE INC.	",""
"SOUTHERN POLICE EQUIPMENT COMPANY INCORPORATED	",""
"SOUTHSIDE GARAGE AND USED AUTO PARTS LLC	",""
"SOUTHWEST SOLUTIONS GROUP, INC.	",""
"SOUTHWESTERN SECURITY SERVICES, INC.	",""
"SPACESAVER STORAGE SYSTEMS, INC.	",""
"SPARTAN CHEMICAL CO, INC	",""
"SPECIALTY CARTRIDGE, INC.	",""
"SPECIALTY VEHICLE SOLUTIONS LIMITED LIABILITY COMPANY	",""
"SPECTRUM SECURITY SERVICES, IN	",""
"SPECTRUM SECURITY SERVICES, INC.	",""
"SPECTRUM SERVICES GROUP, INC	",""
"SPERRY WEST INC	",""
"SPOT LLC	",""
"SPRINGFIELD, L.L.C.	",""
"SPRINT COMMUNICATIONS COMPANY L.P.	",""
"SPS INDUSTRIAL INC.	",""
"SQUARE ONE ARMORING SERVICES CO.	",""
"ST NET APPTIS FIRSTSOURCE JOINT VENTURE	",""
"STAMPS.COM INC.	",""
"STAR POLY BAG INCORPORATED	",""
"STAR POLY BAG, INC.	",""
"STARSIDE SECURITY AND INVESTIGATION INCORPORATED	",""
"STAT COURIER INC	",""
"STATE POLICE, MICHIGAN DEPARTMENT OF	",""
"STEP TWO INVESTMENTS LLC	",""
"STG INTERNATIONAL, INC.	",""
"STRATEGIC ENTERPRISE SOLUTIONS, INC.	",""
"STRONG GROUP INC	",""
"STRONG GROUP, INC.	",""
"SUCCESS TECH MANAGEMENT AND SERVICES, INC.	",""
"SUMURI LLC	",""
"SUNSHINE MAKERS INC	",""
"SUPREME SECURITY SYSTEMS, INC.	",""
"SUSTEEN INC	",""
"SWANK MOTION PICTURES, INC.	",""
"SWISH DATA CORPORATION	",""
"SYSTEC GROUP LLC	",""
"SYSTEMS RESEARCH AND APPLICATI	",""
"SYSTEMS RESEARCH AND APPLICATIONS CORPORATION	",""
"SYTEL INCORPORATED	",""
"T-REX CONSULTING CORPORATION	",""
"T.Q.M., INC.	",""
"TAB PRODUCTS CO, LLC	",""
"TACTICAL & SURVIVAL SPECIALTIES, INC.	",""
"TACTICAL MEDICAL SOLUTIONS, INC.	",""
"TAILORED TRAINING PROGRAMS, L.L.C.	",""
"TALTON COMMUNICATIONS, INC.	",""
"TAYLOR HOLDINGS LLC	",""
"TCS INTERPRETING, INC.	",""
"TECHNICAL COMMUNITIES INCORPORATED	",""
"TECHNICAL MAINTENANCE AND SERVICES CORP	",""
"TECHNOLOGY - MANAGEMENT & INNOVATIVE SOLUTIONS, LLC	",""
"TECHOPS SPECIALTY VEHICLES LLC	",""
"TECOLOTE RESEARCH, INC.	",""
"TELCO SOLUTIONS INC	",""
"TELERIK INC.	",""
"TENERGY CORPORATION	",""
"TENICA AND ASSOCIATES LLC	",""
"TERATHINK CORPORATION	",""
"TERMINIX INTERNATIONAL COMPANY	",""
"TESSCO INCORPORATED	",""
"TESTEQUITY LLC	",""
"TEXAS WORKFORCE COMMISSION	",""
"TEXTRON INC.	",""
"THE GEO GROUP INCORPORATED	",""
"THE MITRE CORPORATION	",""
"THE OFFICE GROUP INC	",""
"THE PALMAS ACADEMY INC	",""
"THOMSON REUTERS SPECIAL SERVICES LLC	",""
"THUNDERCAT TECHNOLOGY, LLC	",""
"TIDEWATER DISTRIBUTORS, LLC	",""
"TIFT, RICHARD T	",""
"TIME WARNER CABLE ENTERPRISES LLC	",""
"TIME WARNER CABLE INC.	",""
"TIME WARNER CABLE INFORMATION SERVICES (HAWAII), LLC	",""
"TIME WARNER ENTERTAINMENT COMPANY, L.P.	",""
"TINFOIL SECURITY INC	",""
"TODD RADFORD	",""
"TOMAHAWK DEFENSE, LLC	",""
"TONAWANDA SPORTSMEN'S CLUB INC	",""
"TOTAL CONCEPT 360 CONSULTING, LLC	",""
"TRAILBOSS ENTERPRISES, INC.	",""
"TRAINING CONNECTION INCORPORATED (6903)	",""
"TREASURE ELECTRONICS INC	",""
"TREEFORT INC	",""
"TRI-COR INDUSTRIES, INC.	",""
"TRIMECH SOLUTIONS, LLC	",""
"TRINITY SERVICES GROUP, INC.	",""
"TRIRIGA INC	",""
"TROFHOLZ TECHNOLOGIES, INC.	",""
"TRS INC.	",""
"TRUCKVAULT, INC.	",""
"TRUSTED TRANSLATIONS INC	",""
"TSRC, INC.	",""
"TSYMMETRY, INC.	",""
"TU, LLC	",""
"TUCSON HOTELS LP	",""
"TWENTYEIGHTY STRATEGY EXECUTION, INC.	",""
"TYCO INTEGRATED SECURITY LLC	",""
"U S  GOVERNMENT CONSULTING GRO	",""
"U S  TACTICAL SUPPLY INC	",""
"U S BUSINESS INTERIORS INCORPORATED	",""
"U S TACTICAL SUPPLY INC	",""
"U.S. BANCORP	",""
"U.S. FEDERAL SOLUTIONS, INC.	",""
"U.S. LEGAL SUPPORT, INC.	",""
"ULTIMATE TRAINING MUNITIONS, INC	",""
"UMBC TRAINING CENTERS LLC	",""
"UNIFIRST CORPORATION	",""
"UNIFORMS MANUFACTURING, INC.	",""
"UNISTAR-SPARCO COMPUTERS, INC.	",""
"UNITED PARCEL SERVICE CO.	",""
"UNITED PARCEL SERVICE INCORPORATED (OH) (2075)	",""
"UNITED SITE SERVICES, INC.	",""
"UNITED TACTICAL SYSTEMS, LLC	",""
"UNIVERSAL LANGUAGE CORPORATION	",""
"UNIVERSAL MUSIC-MGB NA LLC	",""
"UNIVERSITY OF ALABAMA AT BIRMINGHAM	",""
"UNIVERSITY OF MARYLAND	",""
"UNLIMITED STORAGE INC	",""
"URBAN ADVENTURES AT GALLERY PLACE, LLC	",""
"US 21, INC.	",""
"US ANODIZING, INC	",""
"USA COURIERS, INC.	",""
"UTAH COMMUNICATIONS AUTHORITY	",""
"V.H. BLACKINTON & CO., INC.	",""
"V3 GATE TEAM, LLP	",""
"V3GATE, LLC	",""
"VALDATA TELECOM	",""
"VALYTICS, LLC	",""
"VARIDESK, LLC	",""
"VARNER MILLER ASSOCIATES	",""
"VARNERMILLER, LLC	",""
"VASTEC, INC.	",""
"VENTURA, COUNTY OF	",""
"VENTURE NETCOMM, INC.	",""
"VERMONT STATE COLLEGES	",""
"VETERAN TECHNOLOGY PARTNERS II LLC	",""
"VF IMAGEWEAR, INC.	",""
"VICON INDUSTRIES INC	",""
"VICTORY SUPPLY, LLC	",""
"VIDENTIFIER TECHNOLOGIES EHF	",""
"VIKING CORPORATION, THE	",""
"VILLAGE OF OAK LAWN, THE	",""
"VINELAND, CITY OF	",""
"VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY	",""
"VISIONARY INTEGRATION PROFESSIONALS LLC	",""
"VISIONWORX, LLC	",""
"VISTA OUTDOOR SALES LLC	",""
"VISUAL SYSTEMS GROUP, INC.	",""
"VOHNE LICHE KENNELS INC	",""
"VOLEXITY, INC.	",""
"VOLICON INC.	",""
"VONHOF, JEANNE M ARBITRATOR AND MEDIATOR	",""
"VOUND COLORADO, LTD.	",""
"W W GRAINGER, INC	",""
"WABANA GROUP LLC	",""
"WACKENHUT SERVICES, INCORPORATED	",""
"WATCH SYSTEMS LIMITED LIABILITY COMPANY	",""
"WEBER COMPUTER SUPPLY COMPANY	",""
"WEBSEDGE LTD	",""
"WECSYS LIMITED LIABILITY COMPANY (6769)	",""
"WECSYS LLC	",""
"WEIDENBENNER MARKETING ASSOCIATES, INC.	",""
"WEST PUBLISHING CORPORATION	",""
"WESTWIND TEAM LLP	",""
"WEXLER TECHNICAL SOLUTIONS, INC.	",""
"WHISPERING PINES ENTERPRISES, LTD	",""
"WHITAKER BROTHERS BUSINESS MACHINES INC	",""
"WICKLANDER ZULAWSKI AND ASSOCIATES, INC.	",""
"WIDEPOINT INTEGRATED SOLUTIONS CORP.	",""
"WILDFLOWER INTERNATIONAL LIMITED	",""
"WILDFLOWER INTERNATIONAL, LTD.	",""
"WINNOW MANAGEMENT CORPORATION	",""
"WITMER ASSOCIATES INCORPORATED	",""
"WMK SAN ANTONIO LLC	",""
"WOLCOTT GUNS INC	",""
"WORD SYSTEMS INC	",""
"WORLD WIDE ENTERPRISES INC	",""
"WRIGGLESWORTH ENTERPRISES, INC.	",""
"X BRAND MATTRESS LLC	",""
"XEROX CORPORATION	",""
"XL ASSOCIATES INC.	",""
"XL ASSOCIATES, INC.	",""
"XRAD TELE-SERVICES INC	",""
"YOUNG SCALE CO., LLC	",""
"ZEE TECHNOLOGIES, INC.	",""
"ZENETEX, LLC	",""
"ZEPHYR AVIATION, LLC	",""
"ZONES, INC.	",""
