en_final,es_final,fr_final,key,en,es,fr,NOTE
TRUE,TRUE,TRUE,ta-v1-index-modal,A rapidly deployed critical data & visualization intervention in the USA’s 2018 “Zero Tolerance Policy” for asylum seekers at the US Ports of Entry and the humanitarian crisis that has followed.,"Una intervención crítica de gráficas y datos, desplegada rápidamente como respuesta a la nueva “Política de cero tolerancia” de los EE. UU. en contra de los solicitantes de asilo en sus puertos y la crisis humanitaria que resulta.",Une intervention de visualisation et de données critiques rapidement déployée dans le contexte de la « politique de tolérance zéro » de 2018 des États-Unis pour les demandeurs d’asile aux points d’entrée américains et de la crise humanitaire qui a suivi.,
TRUE,TRUE,TRUE,ta-sitename,Torn Apart,Separados,Séparés,
TRUE,TRUE,,ta-page-not-found,Page not found 🙁,Página no encontrada 🙁,Page non trouvée 🙁,
TRUE,TRUE,,ta-requested-page-could-not-be-found,The requested page could not be found.,La página solicitada no se encontró en el servidor.,La page demandée n’a pu être trouvée.,
TRUE,TRUE,TRUE,ta-visualizations,Visualizations,Gráfica,Visualisations,
TRUE,TRUE,TRUE,ta-textures,Textures,Texturas,Textures,
TRUE,TRUE,TRUE,ta-reflections,Reflections,Reflexiones,Réflexions,
TRUE,TRUE,TRUE,ta-allies,Allies,Aliadxs,Les alliés,
TRUE,TRUE,TRUE,ta-bibliography,Bibliography,Bibliografía,Bibliographie,
TRUE,TRUE,TRUE,ta-credits,Credits,Créditos,Crédits,
TRUE,TRUE,TRUE,ta-the-trap,The Trap,La trampa,Le piège,
TRUE,TRUE,TRUE,ta-clinks,Clinks,Barrotes,Les taules,
TRUE,TRUE,TRUE,ta-the-eye,The Eye,El ojo,L’œil,
TRUE,TRUE,TRUE,ta-charts,Charts,Cifras,Les graphiques,
TRUE,TRUE,TRUE,ta-orr,ORR,ORR,ORR,
TRUE,TRUE,,ta-districts,Districts,Distritos,Districts,Viz Button Name
TRUE,TRUE,,ta-gain,Gain,Ganancias,Gains,Viz Button Name
TRUE,TRUE,,ta-freezer,Freezer,Congelador,Le congélo,Viz Button Name
TRUE,TRUE,,ta-rain,Rain,Lluvia,La pluie,Viz Button Name
TRUE,TRUE,,ta-lines,Lines,Lineas,Lignes,Viz Button Name
TRUE,TRUE,,ta-beds,Beds,Camas,Lits,Viz Button Name
TRUE,TRUE,,ta-banned,Banned,Prohibidxs,Interdits,Viz Button Name
TRUE,TRUE,,ta-murderboard,Murderboard,Pizarrón,Tableau,Viz Button Name
TRUE,TRUE,,ta-ice-tray,ICE Tray,La Bandeja,Bac à ICE,Viz Button Name
TRUE,TRUE,,ta-international,International,Internacionales,Internationaux,Used in Allies
TRUE,TRUE,,ta-united-states,United States,Estados Unidos,Etats Unis,Used in Allies
TRUE,TRUE,,ta-mexico,Mexico,México,Méxique,Used in Allies
TRUE,TRUE,TRUE,ta-v1-adp,ADP,ADP,ADP,
TRUE,TRUE,TRUE,ta-v1-facilities,Facilities,Instalaciones,Les installations,
TRUE,TRUE,TRUE,ta-v1-bookins,Bookins,Registros,Taux,
TRUE,TRUE,TRUE,ta-v1-private-juvenile-detention-facilities,Private juvenile detention facilities,Instalaciones de detención juveníl,Les centres de détention privés pour les mineurs,
TRUE,TRUE,TRUE,ta-v1-ice-facilities-since-2014,ICE facilities in use since 2014,Instalaciones de ICE en uso desde el 2014,Les installations de l’ICE facilities en service depuis 2014,
TRUE,TRUE,TRUE,ta-v1-ice-facilities-not-in-use,ICE facilities not in use,Instalaciones de ICE sin uso,Les installations de l’ICE facilities non utilisées,
TRUE,TRUE,TRUE,ta-v1-clinks-legend-supp-text,"We are not showing the addresses of ICE facilities currently not in use. However, this is the full landscape of incarceration for those deemed without papers.",Representación de la infrastructura de encarcelación de inmigrantes en EE. UU.,"Nous ne montrons pas les adresses des installations de l’ICE actuellement non utilisées. Cependant, c’est le paysage complet de l’incarcération pour ceux considérés sans papiers.",
TRUE,TRUE,TRUE,ta-v1-trap-legend,"The border is a trap. Begun in 2005, [Operation Streamline](https://en.wikipedia.org/wiki/Operation_Streamline) has criminalized border crossing. Authorized ports of entry, tiny holes shown here as 15-miles wide, [turn back asylum seekers](https://www.washingtonpost.com/world/national-security/at-the-us-border-asylum-seekers-fleeing-violence-are-told-to-come-back-later/2018/06/12/79a12718-6e4d-11e8-afd5-778aca903bbe_story.html?utm_term=.1caf2e540b8c), pushing them into the [100-mile-wide border zone](https://www.aclu.org/other/constitution-100-mile-border-zone), where they are exposed to harsh conditions from both the environment and law enforcement.","La frontera es una trampa. Desde 2005, [Operation Streamline](https://en.wikipedia.org/wiki/Operation_Streamline) ha criminalizado el cruce fronterizo. Los puertos de entrada autorizados, mostrados aquí como pequeños huecos de 15 millas, [rechazan los solicitantes de asilo](https://www.washingtonpost.com/world/national-security/at-the-us-border-asylum-seekers-fleeing-violence-are-told-to-come-back-later/2018/06/12/79a12718-6e4d-11e8-afd5-778aca903bbe_story.html?utm_term=.1caf2e540b8c) y los empujan hacia [la zona fronteriza de 100 millas](https://www.aclu.org/other/constitution-100-mile-border-zone) donde condiciones duras del medio ambiente y de ICE los oprimen.","La frontière est un piège. Commencé en 2005, [l’Operation Streamline](https://en.wikipedia.org/wiki/Operation_Streamline) a criminalisé le passage des frontières. Les ports/points d’entrée autorisés, des trous minuscules montrés ici comme faisant 15 miles de diamètre, [réjettent les demandeurs d’asile](https://www.washingtonpost.com/world/national-security/at-the-us-border-asylum-seekers-fleeing-violence-are-told-to-come-back-later/2018/06/12/79a12718-6e4d-11e8-afd5-778aca903bbe_story.html?utm_term=.1caf2e540b8c), les repoussant dans [la zone frontalière des 100 miles](https://www.aclu.org/other/constitution-100-mile-border-zone), où ils sont exposés à des conditions difficiles en raison à la fois de l’environnement et de l’application de la loi.",
TRUE,TRUE,TRUE,ta-v1-orr-legend,"As of November 2017, the [Office of Refugee Resettlement](https://www.acf.hhs.gov/orr) has 113 redacted sites which reportedly average daily populations greater than zero. Each site is related to a Docket Control Office, which lets us guess more or less where each site is, at least at the scale you see here. But these sites are sneaky and always slip out of view.","Desde noviembre del 2017 la [Oficina de Relocalización de Refugiados](https://www.acf.hhs.gov/orr) tiene 113 sitios redactados donde reportan población diaria mayor de cero. Cada sitio está relacionado a la Oficina de Control de Casos, lo que nos deja saber más o mendos donde están estos sitios, al menos en la escala que ven aquí. Pero estos sitios son rebalosos y desaparecen de vista.","En novembre 2017, le [Bureau de la réinstallation des réfugiés](https://www.acf.hhs.gov/orr) compte 113 sites modifiés dont les populations quotidiennes moyennes seraient supérieures à zéro. Chaque site est lié à un bureau de contrôle des dossiers, ce qui nous permet de deviner plus ou moins où se trouve chaque site, au moins à l’échelle que vous voyez ici. Mais ces sites sont sournois et glissent toujours hors de vue.",
TRUE,TRUE,TRUE,ta-v1-5-yrs-of-detention,Five Years of Detention:,Cinco Años de Detención:,Cinq ans de détention,
TRUE,TRUE,TRUE,ta-v1-ice-facilities-in-use,ICE facilities in use,Instalaciones de ICE,Les installations de l’ICE facilities en service,
TRUE,TRUE,TRUE,ta-v1-time-series-text,This shows the numbers of detained persons over the last four years of data. Our effort here is in line with other efforts at quantification.,Número de personas detenidas basado en datos de los ultimo 4 años. Nuestro esfuerzo es similar a otros similares.,Cela montre le nombre de personnes détenues au cours des quatre dernières années de données. Notre effort ici est en ligne avec d’autres efforts de quantification.,
TRUE,TRUE,TRUE,ta-v1-fiscal-year-begins,(fiscal year begins previous October),(año fiscal comienza el previo octubre),(l’année fiscale commence l’octobre précédent),
TRUE,TRUE,TRUE,ta-v1-number-of-facilities,Num. of facilities,Num. de instalaciones,№ des installations,
TRUE,TRUE,TRUE,ta-v1-avg-daily-pop,Avg. daily population,Población media diaria,Moyenne de la population quotidienne,
TRUE,TRUE,TRUE,ta-v1-current-avg-daily-pop,Current average daily population,Población media diaria actual,Population quotidienne moyenne actuelle,
TRUE,TRUE,TRUE,ta-v1-adp-text,"ADP is the Average Daily Population and represents someone in ICE detention. However, this is as fungible a number as any other and depends on Congressional language for “beds.”","ADP es la promedio Población Diaria y representa a alguien en detención de ICE. Sinembargo, este número es relativo y depende de la definición del congreso de una “cama”.","ADP est la population quotidienne moyenne et représente une personne en détention de l’ICE. Par contre, ce nombre est aussi fongible que n’importe quel autre et dépend du langage du Congrès pour les “lits”.",
TRUE,TRUE,TRUE,ta-v1-bookins-october-and-november,Bookins for Oct. and Nov. 2017,Registros Oct-Nov 2017,Taux pour Oct. et Nov. 2017,
TRUE,TRUE,TRUE,ta-v1-bookins-text,The initial book-ins into detention facilities rate,Medida inicial de arrestos,Le taux initial des installations de réservation et de détention,
TRUE,TRUE,TRUE,ta-v1-operators-num,Operators number.,Número de operadores.,Nombre d’opérateurs.,
TRUE,TRUE,TRUE,ta-v1-operators-text,"The facility can be operated by ICE, GEO, MVM, CCA or other contractors","La instalación puede ser operada por ICE, GEO, MVM, CCA o otros contratistas","L’installation peut être exploitée par ICE, GEO, MVM, CCA ou d’autres entreprises.",
TRUE,TRUE,TRUE,ta-v1-active-num,active number.,Número activo,Nombre actif.,
TRUE,TRUE,TRUE,ta-v1-name-header,Facility and Operator,Instalación y Operador,Installation et opérateur,
TRUE,TRUE,TRUE,ta-v1-mandays-header,Mandays,Mandays,Jours de travail,
TRUE,TRUE,TRUE,ta-v1-pctDaysInUse-header,Usage,Uso,Usage,
TRUE,TRUE,TRUE,ta-v1-2017-mandays-and-overpop,Mandays and (Over-)Usage in Fiscal Year 2017:,Total días por persona 2017 y uso:,Jours de travail et (sur-)utilisation au cours de l’année fiscale de 2017 :,
TRUE,TRUE,TRUE,ta-v1-mandays,Mandays,Mandays,Jours de travail,
TRUE,TRUE,TRUE,ta-v1-mandays-definition,The sum of midnight count mandays for a facility for all days in the fiscal year.,Suma de estadía nocturna por instalación año fiscal completo.,La somme de minuit compte jours de travail pour une installation pour tous les jours de l’année fiscale.,
TRUE,TRUE,TRUE,ta-v1-usage,Usage,Uso,Usage,
TRUE,TRUE,TRUE,ta-v1-usage-definition,Indicates the percentage of fiscal year days in use to date.,Indica el porcentaje de días del año fiscal en uso hasta la fecha,Indique le pourcentage des jours de l’année fiscale utilisés à ce jour.,
TRUE,TRUE,TRUE,ta-v1-facility-operators,Fiscal Year 2018 Facilities by Operator:,"Instalaciones por operador, año fiscal 2018:",L’année fiscale 2018 installations par l’exploitant :,
TRUE,TRUE,TRUE,ta-v1-18-adp-by-operator,Portion of Total Average Daily Population per Operator,Porción del average total de la población por día por operador,Portion de la population quotidienne moyenne totale par exploitant,
TRUE,TRUE,TRUE,ta-v1-facility-by-operator,Portion of Facilities per Operator,Porción de instalación por operador,Portion d’installations par exploitant,
TRUE,TRUE,TRUE,ta-v1-other-private,Other Private,Misc. privada,Autre privé,
TRUE,TRUE,TRUE,ta-v1-government,Government,Gobierno,Gouvernement,
TRUE,TRUE,TRUE,ta-v1-geo,GEO Group,GEO Group,Groupe GEO,
TRUE,TRUE,TRUE,ta-v1-cca,CoreCivic,CoreCivic,CoreCivic,
TRUE,TRUE,TRUE,ta-v1-legend,Legend,Legend,Légende,
TRUE,TRUE,TRUE,ta-v1-owned-or-operated-by,Owned or operated by,Propiedad de o dirigido por,Détenu ou exploité par :,
TRUE,TRUE,TRUE,ta-v1-banned-legend,"The population of this ephemeral, blackened country of closed borders is about _N%_ of that of the excluded majority Muslim population banned from entering the US by [Presidential Proclamation 9645](https://en.wikipedia.org/wiki/Executive_Order_13780#Presidential_Proclamation_9645).","La población de ese país efímero de fronteras cerradas es de aproximadamente _N%_ de la población excluida y mayoritariamente musulmana, prohibida ingresar a los EE. UU. por [Proclamación presidencial 9645](https://en.wikipedia.org/wiki/Executive_Order_13780#Presidential_Proclamation_9645).","La population de ce pays éphémère de frontières fermées représente environ _% de la population exclue et principalement musulmane, interdite d’entrer aux États-Unis pour [proclamation présidentielle 9645] (https://en.wikipedia.org/wiki/Executive_Order_13780#Presidential_Proclamation_9645).",
TRUE,TRUE,TRUE,ta-v1-drafting-borders,Drafting borders…,Delineando fronteras…,Rédaction des frontières ...,
TRUE,,,ta-v2-gain-title,Wall of Gain,Ganancias,Temple de la rémunérée,
TRUE,TRUE,,ta-v2-freezer-title,The Banality of ICE Funding,La banalidad del presupuesto de ICE,La banalité du financement de l’ICE,
,TRUE,,ta-v2-rain-title,ICE contracts 2014 – 2018,Contratos de ICE 2014 – 2018,Contrats d’ICE 2014 – 2018,
TRUE,TRUE,,ta-v2-lines-legend,"ICE removed over 220,000 people in the United States in 2017. Each person was removed through a port of entry, or, more appropriately, a port of removal. The lines represent this stream of re-displaced people.","ICE expulso a más de 220,000 personas en los EE.UU. en 2017. Cada persona fue expulsada por un puerto de desembarque, o mejor dicho, por un puerto de expulsión. Las lineas representan el flujo de personas re-desplazadas. ","En 2017, ICE a expulsé plus de 220 000 personnes des États-Unis. Chaque personne a été déplacée par un port d’entrée ou, plus précisément, par un port d’enlèvement. Les lignes représentent ce flux de personnes déplacées.",
,TRUE,,ta-v2-people-removed,people removed in,personas expulsadas en,gens expulsées en,
,TRUE,,ta-v2-person-removed,person removed in,persona expulasada en,personne expulsée en,
,,,ta-v2-districts-legend,Districts legend,Legenda Distritos,Légende pour Districts,
,,,ta-v2-beds-legend,Beds legend,Legenda Camas,Légende pour Gains,
,TRUE,,ta-v2-name-and-gain,Wall of gain,Pared de Ganancias,Mur des gains,
,,,ta-v2-equal-opportunities,Equal opportunity oppression,Igualdad de Opresión,Egalité d’oppression,
,TRUE,,ta-v2-gender-pie-chart,Gender,Genero,Genre,
,,,ta-v2-female,Woman-owned business,Negocio-Proprietaria mujer,Entreprise appartenant à une femme,
,TRUE,,ta-v2-non-female,Not identified as a woman-owned business,Negocio no identificado como propiedad de mujer,Non identifié comme une entreprise appartenant à une femme,
,TRUE,,ta-v2-ethnicity-pie-chart,Ethnicity,Etnia,Ethnicité,
TRUE,,,ta-asianPacific,Asian Pacific,Negocio-Propietario asiático-Pacífico,Propriétaire de l’Asie Pacifique,
TRUE,,,ta-black,Black,Negocio-Propietario afro-americano,Propriétaire noire américaine,
TRUE,,,ta-hispanic,Hispanic,Negocio-Propietario hispano-americano,Propriétaire hispanique,
TRUE,,,ta-native,Native,Negocio-Propietario nativo-Americano,Propriétaire Amérindien,
TRUE,,,ta-saaia,Subcontinent Asian,Negocio-Propietario subcontinente asiático/ indo-americano,Propriétaire du sous-continent Asiatique / Asiatique-Indienne-américaine,
TRUE,,,ta-otherMinority,Other Minority,Negocio-Propietario otro grupo minoritario,Propriétaire d’une autre minorité,
,TRUE,,ta-v2-intersectionality-pie-chart,Intersectionality,Interseccionalidad,Intersectionalité,
,,,ta-v2-intersectional,Business owned by a woman of color,Negocio-Propietaria mujer de color,Propriétaire noire américaine femme,
,,,ta-v2-non-intersectional,Business owned by a person from other marginalized category,Negocio propiedad de persona marginalaza en otra categoría ,Propriétaire d’une autre categorie marginalisée,
,,,ta-v2-piechart-description,"Ces diagrammes à secteurs montrent les pourcentages de récipiendaires qui s'identifient comme appartenant à diverses catégories marginalisées. Dans le cas du graphique circulaire Ethnicity and Intersectionality, le 
total représente le nombre de personnes identifiées comme faisant partie de l'une des catégories marginalisées, et non pas de toutes les personnes récompensées en général. Pour le tableau de genre, le total représente tous les récipiendaires. Les étiquettes de catégorie ici dans la plupart des cas sont celles utilisées dans les documents d'attribution.","Estos gráficos circulares muestran los porcentajes de beneficiarios que se identifican a sí mismos como pertenecientes a varias categorías marginadas. En el caso del gráfico circular Etnia e Interseccionalidad, el total del pastel representa a todas las personas que se identificaron como parte de cualquiera de las categorías marginadas, no a todos los beneficiarios en general. Para el cuadro de género, el total del pastel representa a todos los beneficiarios. Las etiquetas de categoría aquí en la mayoría de los casos son las que se usan en los documentos de adjudicación.","Ces diagrammes à secteurs montrent les pourcentages de récipiendaires qui s’identifient comme appartenant à diverses catégories marginalisées. Dans le cas du graphique circulaire Ethnicité et Intersectionalité, le total représente le nombre de personnes identifiées comme faisant partie de l’une des catégories marginalisées, et non pas de toutes les personnes récompensées en général. Pour le tableau de genre, le total représente tous les récipiendaires. Les étiquettes de catégorie ici dans la plupart des cas sont celles utilisées dans les documents d’attribution.",
,TRUE,,ta-allies-legend-entry,Allied organizations,Organizaciones de aliados,Organisations alliées,
,TRUE,,ta-allies-button,Show allies directory,Mostrar directorio de aliados,Afficher le répertoire des alliés,
,TRUE,,ta-allies-supp-text,Our list of allies has been double-vetted for trustworthiness,Nuestra lista de aliado a sido verificada doblemente,Notre liste d’alliés a fait l’objet d’un double contrôle de la fiabilité,
,,,ta-allies-curated-list,The list below was curated by our research team and is by no means exhaustive.,La siguiente lista fue comisariada por nuestro equipo de investigación y es de ninguna forma la lista completa,La liste ci-dessous a été organisée par notre équipe de recherche et n’est en aucun cas exhaustive.,
,TRUE,,ta-allies-directory-title,Torn Apart / Separados Allies Directory,Directorio de Aliados de Torn Apart / Separados,Répertoire alliés de Torn Apart/Separados,
TRUE,,,ta-v2-dba,Company / Subsidiary,,Entreprise / Filale,
,TRUE,,ta-v2-location,Location,Ubicación,Emplacement,
,TRUE,,ta-v2-category,Category,Categoría,Catégorie,
,TRUE,,ta-v2-product-service,Product / Service,Producto / Servicio,Produit / Service,
,TRUE,,ta-v2-current-value,Current Value,Valor Actual,Valeur actuelle,
,,,ta-v2-potential-value,Potential Value,Valor Potencial,Valeur potentielle,
,TRUE,,ta-description,Description,Descripción,Description,
,TRUE,,ta-value-to-date,Total Value to Date,Valor total hasta la fecha,Valeur totale à ce jour,
TRUE,TRUE,,ta-republican-cong,Republican Rep.,Rep. Republicano,Représentant démocrate,
TRUE,TRUE,,ta-democrat-cong,Democratic Rep.,Rep. Demócrata,Représentant républicain,
TRUE,TRUE,,ta-no-rep-cong,No Rep. in Congress,No hay Rep. en el Congreso,Aucun représentant,
TRUE,TRUE,,ta-ice-money-since-2013,Cumulative ICE awards since 2014 to companies by Congressional district,Premios acumulados de ICE desde 2014 a compañia de districto del congreso,Récompenses d’ICE accumulées depuis 2014 aux societés par district de congrès,
TRUE,,,ta-ice-money-since-2013-tooltip,ICE money received since 2014,,,
TRUE,TRUE,,ta-product-cat-consulting,Consulting,Asesoría,Des conseils,
TRUE,TRUE,,ta-product-cat-carceral-services,Carceral Services,Servicios para reclusos,Services aux détenus,
TRUE,,,ta-product-cat-telecom,Telecom,Telecom,Télécom,
TRUE,,,ta-product-cat-it,IT,Servicios técnicos ,Services techniques,
TRUE,,,ta-product-cat-trade-manufacturing,Trade & Manufacturing,Comercio y manufactura ,Commerce et fabrication,
TRUE,TRUE,,ta-product-cat-transportation,Transportation,Transportación,Transport,
TRUE,TRUE,,ta-product-cat-sports-recreation,Sports & Recreation,Deportes y ocio,Sports et loisirs,
TRUE,TRUE,,ta-product-cat-research-professional-development,Research & Professional Development,Investigación y Desarrollo profesional,Recherche et développement professionnel,
TRUE,,,ta-product-cat-food,Food,Alimento,Nourriture,
TRUE,,,ta-product-cat-apparel-leather,Apparel & Leather,Vestimenta y peletería,Vêtements et cuir,
TRUE,,,ta-product-cat-munitions,Munitions,Municiones,Munitions,
TRUE,,,ta-product-cat-misc,Misc.,Misceláneo,Divers,
TRUE,TRUE,,ta-product-cat-office-supplies,Office Supplies,Artículos de oficina,Articles de bureau,
TRUE,TRUE,,ta-product-cat-legal,Legal,Legal,Juridique,
TRUE,TRUE,,ta-product-cat-hotels,Hotels,Hoteles,Hôtels,
TRUE,,,ta-product-cat-retail,Retail,Al por menor,Au détail,
TRUE,,,ta-product-cat-temps,Temps,Empleados temporarios,Employés temporaires,
TRUE,TRUE,,ta-product-cat-printing-publishing,Printing & Publishing,Impresión y Publicación ,Impression et édition,
TRUE,TRUE,,ta-product-cat-health-personal-care,Health & Personal Care,Salud y Cuidado personal ,Santé et soins personnels,
TRUE,,,ta-product-cat-financial,Financial,Financiero,Financier,
TRUE,TRUE,,ta-removals,Removals,Expulsiones,Les expulsions,
TRUE,,,ta-ordinal-st-m,Nst,el N.er,le Ner,
TRUE,,,ta-ordinal-nd-m,Nnd,el N.º,le Ne,
TRUE,,,ta-ordinal-rd-m,Nrd,el N.º,le Ne,
TRUE,,,ta-ordinal-th-m,Nth,el N.º,le Ne,
TRUE,TRUE,,ta-at-large-district,At-Large District,Distrito en general,district « at large »,
TRUE,TRUE,,ta-district,District,Distrito,district,
TRUE,,,ta-districts-biggest-profiteer,Biggest Profiteer,Mayor especulador,,
TRUE,,,ta-total,Total,,,